"Time (s) Run #1";"Angle, Ch 1+2 (rad) Run #1";"Angle, Ch 3+4 (rad) Run #1";"Output Voltage (V) Run #1";"Output Current (A) Run #1";"Time (s) Run #2";"Angle, Ch 1+2 (rad) Run #2";"Angle, Ch 3+4 (rad) Run #2";"Output Voltage (V) Run #2";"Output Current (A) Run #2";"Time (s) Run #3";"Angle, Ch 1+2 (rad) Run #3";"Angle, Ch 3+4 (rad) Run #3";"Output Voltage (V) Run #3";"Output Current (A) Run #3";"Time (s) Run #4";"Angle, Ch 1+2 (rad) Run #4";"Angle, Ch 3+4 (rad) Run #4";"Output Voltage (V) Run #4";"Output Current (A) Run #4";"Time (s) Run #5";"Angle, Ch 1+2 (rad) Run #5";"Angle, Ch 3+4 (rad) Run #5";"Output Voltage (V) Run #5";"Output Current (A) Run #5";"Time (s) Run #6";"Angle, Ch 1+2 (rad) Run #6";"Angle, Ch 3+4 (rad) Run #6";"Output Voltage (V) Run #6";"Output Current (A) Run #6";"Time (s) Run #7";"Angle, Ch 1+2 (rad) Run #7";"Angle, Ch 3+4 (rad) Run #7";"Output Voltage (V) Run #7";"Output Current (A) Run #7";"Time (s) Run #8";"Angle, Ch 1+2 (rad) Run #8";"Angle, Ch 3+4 (rad) Run #8";"Output Voltage (V) Run #8";"Output Current (A) Run #8";"Time (s) Run #9";"Angle, Ch 1+2 (rad) Run #9";"Angle, Ch 3+4 (rad) Run #9";"Output Voltage (V) Run #9";"Output Current (A) Run #9";"Time (s) Run #10";"Angle, Ch 1+2 (rad) Run #10";"Angle, Ch 3+4 (rad) Run #10";"Output Voltage (V) Run #10";"Output Current (A) Run #10"
0,000;-0,052;0,000;-0,005;0,006;0,000;-0,175;0,000;-0,005;0,006;0,000;-0,157;0,000;-0,005;0,006;0,000;0,000;0,000;-0,005;0,006;0,000;-0,087;0,000;-0,005;0,006;0,000;-0,122;0,000;-0,005;0,006;0,000;0,000;0,017;-0,005;0,006;0,000;0,000;0,000;-0,005;0,006;0,000;0,000;0,000;-0,006;0,006;0,000;0,000;0,000;-0,005;0,006
0,050;-0,157;0,000;-0,005;0,006;0,050;-0,332;0,000;-0,005;0,006;0,050;-0,297;0,000;-0,005;0,006;0,050;-0,017;0,000;-0,005;0,006;0,050;-0,209;0,000;-0,005;0,006;0,050;-0,244;0,000;-0,005;0,006;0,050;0,000;0,017;-0,005;0,006;0,050;-0,017;0,000;-0,005;0,006;0,050;0,000;0,000;-0,005;0,006;0,050;0,000;0,000;-0,005;0,006
0,100;-0,314;0,000;-0,005;0,006;0,100;-0,436;0,000;-0,005;0,006;0,100;-0,436;0,000;-0,005;0,006;0,100;-0,035;0,000;-0,005;0,006;0,100;-0,349;0,000;-0,005;0,006;0,100;-0,401;0,000;-0,005;0,006;0,100;0,000;0,017;-0,005;0,006;0,100;0,000;0,000;-0,005;0,006;0,100;0,000;0,000;-0,005;0,006;0,100;0,000;0,000;-0,005;0,006
0,150;-0,489;0,000;-0,005;0,006;0,150;-0,506;0,000;-0,005;0,006;0,150;-0,628;0,000;-0,005;0,006;0,150;-0,070;0,000;-0,005;0,006;0,150;-0,541;0,000;-0,005;0,006;0,150;-0,541;0,000;-0,006;0,006;0,150;0,000;0,017;-0,005;0,006;0,150;0,000;0,000;-0,005;0,006;0,150;0,000;0,000;-0,006;0,006;0,150;0,000;0,000;-0,005;0,006
0,200;-0,646;0,000;-0,005;0,006;0,200;-0,576;0,000;-0,005;0,006;0,200;-0,838;-0,017;-0,005;0,006;0,200;-0,122;0,000;-0,005;0,006;0,200;-0,733;0,000;-0,005;0,006;0,200;-0,646;0,000;-0,005;0,006;0,200;0,000;0,017;-0,005;0,006;0,200;0,000;0,000;-0,005;0,006;0,200;0,017;0,000;-0,005;0,006;0,200;0,000;0,000;-0,005;0,006
0,250;-0,785;0,000;-0,005;0,006;0,250;-0,628;0,000;-0,005;0,006;0,250;-1,065;-0,017;-0,005;0,006;0,250;-0,209;0,000;-0,005;0,006;0,250;-0,942;0,000;-0,005;0,006;0,250;-0,785;0,000;-0,005;0,006;0,250;0,000;0,017;-0,005;0,006;0,250;-0,052;0,000;-0,005;0,006;0,250;0,017;0,000;-0,005;0,006;0,250;0,000;0,000;-0,005;0,006
0,300;-0,925;0,000;-0,005;0,006;0,300;-0,681;0,000;-0,005;0,006;0,300;-1,292;-0,017;-0,005;0,006;0,300;-0,332;0,000;-0,005;0,006;0,300;-1,065;0,000;-0,005;0,006;0,300;-0,942;-0,017;-0,005;0,006;0,300;0,000;0,017;-0,005;0,006;0,300;-0,227;0,000;-0,005;0,006;0,300;0,000;0,000;-0,006;0,006;0,300;0,000;0,000;-0,005;0,006
0,350;-1,047;0,000;-0,005;0,006;0,350;-0,785;-0,017;-0,005;0,006;0,350;-1,466;-0,017;-0,005;0,006;0,350;-0,471;0,000;-0,005;0,006;0,350;-1,239;0,000;-0,005;0,006;0,350;-1,117;-0,017;-0,005;0,006;0,350;0,000;0,017;-0,005;0,006;0,350;-0,419;0,000;-0,005;0,006;0,350;-0,035;0,000;-0,005;0,006;0,350;0,000;0,000;-0,005;0,006
0,400;-1,134;-0,017;-0,005;0,006;0,400;-0,890;-0,017;-0,005;0,006;0,400;-1,623;-0,017;-0,005;0,006;0,400;-0,681;0,000;-0,005;0,006;0,400;-1,431;-0,017;-0,005;0,006;0,400;-1,292;-0,017;-0,005;0,006;0,400;0,000;0,017;-0,005;0,006;0,400;-0,628;0,000;-0,005;0,006;0,400;-0,087;0,000;-0,005;0,006;0,400;0,000;0,000;-0,005;0,006
0,450;-1,222;-0,017;-0,005;0,006;0,450;-1,047;-0,017;-0,005;0,006;0,450;-1,763;-0,017;-0,005;0,006;0,450;-0,890;0,000;-0,005;0,006;0,450;-1,676;-0,017;-0,005;0,006;0,450;-1,501;-0,017;-0,005;0,006;0,450;0,000;0,017;-0,005;0,006;0,450;-0,855;0,000;-0,005;0,006;0,450;-0,175;0,000;-0,005;0,006;0,450;0,017;0,000;-0,006;0,006
