"Time (s) Run #1";"Angle, Ch 1+2 (rad) Run #1";"Angular Velocity, Ch 1+2 (rad/s) Run #1";"Angular Acceleration, Ch 1+2 (rad/s²) Run #1";"Position, Ch 1+2 (m) Run #1";"Velocity, Ch 1+2 (m/s) Run #1";"Acceleration, Ch 1+2 (m/s²) Run #1";"Angle, Ch 3+4 (rad) Run #1";"Angular Velocity, Ch 3+4 (rad/s) Run #1";"Angular Acceleration, Ch 3+4 (rad/s²) Run #1";"Position, Ch 3+4 (m) Run #1";"Velocity, Ch 3+4 (m/s) Run #1";"Acceleration, Ch 3+4 (m/s²) Run #1";"Output Voltage (V) Run #1";"Output Current (A) Run #1";"Time (s) Run #2";"Angle, Ch 1+2 (rad) Run #2";"Angular Velocity, Ch 1+2 (rad/s) Run #2";"Angular Acceleration, Ch 1+2 (rad/s²) Run #2";"Position, Ch 1+2 (m) Run #2";"Velocity, Ch 1+2 (m/s) Run #2";"Acceleration, Ch 1+2 (m/s²) Run #2";"Angle, Ch 3+4 (rad) Run #2";"Angular Velocity, Ch 3+4 (rad/s) Run #2";"Angular Acceleration, Ch 3+4 (rad/s²) Run #2";"Position, Ch 3+4 (m) Run #2";"Velocity, Ch 3+4 (m/s) Run #2";"Acceleration, Ch 3+4 (m/s²) Run #2";"Output Voltage (V) Run #2";"Output Current (A) Run #2";"Time (s) Run #3";"Angle, Ch 1+2 (rad) Run #3";"Angular Velocity, Ch 1+2 (rad/s) Run #3";"Angular Acceleration, Ch 1+2 (rad/s²) Run #3";"Position, Ch 1+2 (m) Run #3";"Velocity, Ch 1+2 (m/s) Run #3";"Acceleration, Ch 1+2 (m/s²) Run #3";"Angle, Ch 3+4 (rad) Run #3";"Angular Velocity, Ch 3+4 (rad/s) Run #3";"Angular Acceleration, Ch 3+4 (rad/s²) Run #3";"Position, Ch 3+4 (m) Run #3";"Velocity, Ch 3+4 (m/s) Run #3";"Acceleration, Ch 3+4 (m/s²) Run #3";"Output Voltage (V) Run #3";"Output Current (A) Run #3";"Time (s) Run #4";"Angle, Ch 1+2 (rad) Run #4";"Angular Velocity, Ch 1+2 (rad/s) Run #4";"Angular Acceleration, Ch 1+2 (rad/s²) Run #4";"Position, Ch 1+2 (m) Run #4";"Velocity, Ch 1+2 (m/s) Run #4";"Acceleration, Ch 1+2 (m/s²) Run #4";"Angle, Ch 3+4 (rad) Run #4";"Angular Velocity, Ch 3+4 (rad/s) Run #4";"Angular Acceleration, Ch 3+4 (rad/s²) Run #4";"Position, Ch 3+4 (m) Run #4";"Velocity, Ch 3+4 (m/s) Run #4";"Acceleration, Ch 3+4 (m/s²) Run #4";"Output Voltage (V) Run #4";"Output Current (A) Run #4";"Time (s) Run #5";"Angle, Ch 1+2 (rad) Run #5";"Angular Velocity, Ch 1+2 (rad/s) Run #5";"Angular Acceleration, Ch 1+2 (rad/s²) Run #5";"Position, Ch 1+2 (m) Run #5";"Velocity, Ch 1+2 (m/s) Run #5";"Acceleration, Ch 1+2 (m/s²) Run #5";"Angle, Ch 3+4 (rad) Run #5";"Angular Velocity, Ch 3+4 (rad/s) Run #5";"Angular Acceleration, Ch 3+4 (rad/s²) Run #5";"Position, Ch 3+4 (m) Run #5";"Velocity, Ch 3+4 (m/s) Run #5";"Acceleration, Ch 3+4 (m/s²) Run #5";"Output Voltage (V) Run #5";"Output Current (A) Run #5";"Time (s) Run #6";"Angle, Ch 1+2 (rad) Run #6";"Angular Velocity, Ch 1+2 (rad/s) Run #6";"Angular Acceleration, Ch 1+2 (rad/s²) Run #6";"Position, Ch 1+2 (m) Run #6";"Velocity, Ch 1+2 (m/s) Run #6";"Acceleration, Ch 1+2 (m/s²) Run #6";"Angle, Ch 3+4 (rad) Run #6";"Angular Velocity, Ch 3+4 (rad/s) Run #6";"Angular Acceleration, Ch 3+4 (rad/s²) Run #6";"Position, Ch 3+4 (m) Run #6";"Velocity, Ch 3+4 (m/s) Run #6";"Acceleration, Ch 3+4 (m/s²) Run #6";"Output Voltage (V) Run #6";"Output Current (A) Run #6";"Time (s) Run #7";"Angle, Ch 1+2 (rad) Run #7";"Angular Velocity, Ch 1+2 (rad/s) Run #7";"Angular Acceleration, Ch 1+2 (rad/s²) Run #7";"Position, Ch 1+2 (m) Run #7";"Velocity, Ch 1+2 (m/s) Run #7";"Acceleration, Ch 1+2 (m/s²) Run #7";"Angle, Ch 3+4 (rad) Run #7";"Angular Velocity, Ch 3+4 (rad/s) Run #7";"Angular Acceleration, Ch 3+4 (rad/s²) Run #7";"Position, Ch 3+4 (m) Run #7";"Velocity, Ch 3+4 (m/s) Run #7";"Acceleration, Ch 3+4 (m/s²) Run #7";"Output Voltage (V) Run #7";"Output Current (A) Run #7";"Time (s) Run #8";"Angle, Ch 1+2 (rad) Run #8";"Angular Velocity, Ch 1+2 (rad/s) Run #8";"Angular Acceleration, Ch 1+2 (rad/s²) Run #8";"Position, Ch 1+2 (m) Run #8";"Velocity, Ch 1+2 (m/s) Run #8";"Acceleration, Ch 1+2 (m/s²) Run #8";"Angle, Ch 3+4 (rad) Run #8";"Angular Velocity, Ch 3+4 (rad/s) Run #8";"Angular Acceleration, Ch 3+4 (rad/s²) Run #8";"Position, Ch 3+4 (m) Run #8";"Velocity, Ch 3+4 (m/s) Run #8";"Acceleration, Ch 3+4 (m/s²) Run #8";"Output Voltage (V) Run #8";"Output Current (A) Run #8";"Time (s) Run #9";"Angle, Ch 1+2 (rad) Run #9";"Angular Velocity, Ch 1+2 (rad/s) Run #9";"Angular Acceleration, Ch 1+2 (rad/s²) Run #9";"Position, Ch 1+2 (m) Run #9";"Velocity, Ch 1+2 (m/s) Run #9";"Acceleration, Ch 1+2 (m/s²) Run #9";"Angle, Ch 3+4 (rad) Run #9";"Angular Velocity, Ch 3+4 (rad/s) Run #9";"Angular Acceleration, Ch 3+4 (rad/s²) Run #9";"Position, Ch 3+4 (m) Run #9";"Velocity, Ch 3+4 (m/s) Run #9";"Acceleration, Ch 3+4 (m/s²) Run #9";"Output Voltage (V) Run #9";"Output Current (A) Run #9";"Time (s) Run #10";"Angle, Ch 1+2 (rad) Run #10";"Angular Velocity, Ch 1+2 (rad/s) Run #10";"Angular Acceleration, Ch 1+2 (rad/s²) Run #10";"Position, Ch 1+2 (m) Run #10";"Velocity, Ch 1+2 (m/s) Run #10";"Acceleration, Ch 1+2 (m/s²) Run #10";"Angle, Ch 3+4 (rad) Run #10";"Angular Velocity, Ch 3+4 (rad/s) Run #10";"Angular Acceleration, Ch 3+4 (rad/s²) Run #10";"Position, Ch 3+4 (m) Run #10";"Velocity, Ch 3+4 (m/s) Run #10";"Acceleration, Ch 3+4 (m/s²) Run #10";"Output Voltage (V) Run #10";"Output Current (A) Run #10"
0,000;-0,052;;;-0,0012;;;0,000;;;0,0000;;;-0,005;0,006;0,000;-0,175;;;-0,0042;;;0,000;;;0,0000;;;-0,005;0,006;0,000;-0,157;;;-0,0037;;;0,000;;;0,0000;;;-0,005;0,006;0,000;0,000;;;0,0000;;;0,000;;;0,0000;;;-0,005;0,006;0,000;-0,087;;;-0,0021;;;0,000;;;0,0000;;;-0,005;0,006;0,000;-0,122;;;-0,0029;;;0,000;;;0,0000;;;-0,005;0,006;0,000;0,000;;;0,0000;;;0,017;;;4,1667E-4;;;-0,005;0,006;0,000;0,000;;;0,0000;;;0,000;;;0,0000;;;-0,005;0,006;0,000;0,000;;;0,0000;;;0,000;;;0,0000;;;-0,006;0,006;0,000;0,000;;;0,0000;;;0,000;;;0,0000;;;-0,005;0,006
0,050;-0,157;-2,618;;-0,0037;-0,062;;0,000;0,000;;0,0000;0,000;;-0,005;0,006;0,050;-0,332;-2,618;;-0,0079;-0,063;;0,000;0,000;;0,0000;0,000;;-0,005;0,006;0,050;-0,297;-2,793;;-0,0071;-0,067;;0,000;0,000;;0,0000;0,000;;-0,005;0,006;0,050;-0,017;-0,349;;-4,1667E-4;-0,008;;0,000;0,000;;0,0000;0,000;;-0,005;0,006;0,050;-0,209;-2,618;;-0,0050;-0,062;;0,000;0,000;;0,0000;0,000;;-0,005;0,006;0,050;-0,244;-2,793;;-0,0058;-0,067;;0,000;0,000;;0,0000;0,000;;-0,005;0,006;0,050;0,000;0,000;;0,0000;0,000;;0,017;0,000;;4,1667E-4;0,000;;-0,005;0,006;0,050;-0,017;0,000;;-4,1667E-4;0,000;;0,000;0,000;;0,0000;0,000;;-0,005;0,006;0,050;0,000;0,000;;0,0000;0,000;;0,000;0,000;;0,0000;0,000;;-0,005;0,006;0,050;0,000;0,000;;0,0000;0,000;;0,000;0,000;;0,0000;0,000;;-0,005;0,006
0,100;-0,314;-3,083;-5,818;-0,0075;-0,074;-0,139;0,000;0,000;0,000;0,0000;0,000;0,000;-0,005;0,006;0,100;-0,436;-1,920;11,636;-0,0104;-0,046;0,278;0,000;0,000;0,000;0,0000;0,000;0,000;-0,005;0,006;0,100;-0,436;-3,374;-11,054;-0,0104;-0,081;-0,264;0,000;-0,058;-1,164;0,0000;-0,001;-0,028;-0,005;0,006;0,100;-0,035;-0,582;-5,818;-8,3333E-4;-0,014;-0,139;0,000;0,000;0,000;0,0000;0,000;0,000;-0,005;0,006;0,100;-0,349;-3,258;-11,054;-0,0083;-0,078;-0,264;0,000;0,000;0,000;0,0000;0,000;0,000;-0,005;0,006;0,100;-0,401;-2,734;1,745;-0,0096;-0,065;0,042;0,000;0,000;0,000;0,0000;0,000;0,000;-0,005;0,006;0,100;0,000;0,000;0,000;0,0000;0,000;0,000;0,017;0,000;0,000;4,1667E-4;0,000;0,000;-0,005;0,006;0,100;0,000;0,058;-1,164;0,0000;0,001;-0,028;0,000;0,000;0,000;0,0000;0,000;0,000;-0,005;0,006;0,100;0,000;0,058;1,164;0,0000;0,001;0,028;0,000;0,000;0,000;0,0000;0,000;0,000;-0,005;0,006;0,100;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;-0,005;0,006
0,150;-0,489;-3,200;-0,388;-0,0117;-0,076;-0,009;0,000;0,000;0,000;0,0000;0,000;0,000;-0,005;0,006;0,150;-0,506;-1,454;6,787;-0,0121;-0,035;0,162;0,000;0,000;-0,194;0,0000;0,000;-0,005;-0,005;0,006;0,150;-0,628;-3,898;-8,145;-0,0150;-0,093;-0,194;0,000;-0,116;-0,388;0,0000;-0,003;-0,009;-0,005;0,006;0,150;-0,070;-0,931;-8,533;-0,0017;-0,022;-0,204;0,000;0,000;0,000;0,0000;0,000;0,000;-0,005;0,006;0,150;-0,541;-3,723;-4,266;-0,0129;-0,089;-0,102;0,000;0,000;0,000;0,0000;0,000;0,000;-0,005;0,006;0,150;-0,541;-2,618;8,882E-15;-0,0129;-0,062;1,388E-16;0,000;0,000;-0,582;0,0000;0,000;-0,014;-0,006;0,006;0,150;0,000;0,000;0,000;0,0000;0,000;0,000;0,017;0,000;0,000;4,1667E-4;0,000;0,000;-0,005;0,006;0,150;0,000;-0,116;-10,472;0,0000;-0,003;-0,250;0,000;0,000;0,000;0,0000;0,000;0,000;-0,005;0,006;0,150;0,000;0,116;-0,582;0,0000;0,003;-0,014;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;0,150;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;-0,005;0,006
0,200;-0,646;-3,025;3,297;-0,0154;-0,072;0,079;0,000;0,000;-0,194;0,0000;0,000;-0,005;-0,005;0,006;0,200;-0,576;-1,222;1,745;-0,0137;-0,029;0,042;0,000;0,000;-0,582;0,0000;0,000;-0,014;-0,005;0,006;0,200;-0,838;-4,305;-3,297;-0,0200;-0,103;-0,079;-0,017;-0,116;0,388;-4,1667E-4;-0,003;0,009;-0,005;0,006;0,200;-0,122;-1,454;-10,860;-0,0029;-0,035;-0,259;0,000;0,000;0,000;0,0000;0,000;0,000;-0,005;0,006;0,200;-0,733;-3,723;0,776;-0,0175;-0,089;0,019;0,000;0,000;-0,194;0,0000;0,000;-0,005;-0,005;0,006;0,200;-0,646;-2,618;-2,715;-0,0154;-0,062;-0,065;0,000;-0,058;-0,776;0,0000;-0,001;-0,019;-0,005;0,006;0,200;0,000;0,000;0,000;0,0000;0,000;0,000;0,017;0,000;0,000;4,1667E-4;0,000;0,000;-0,005;0,006;0,200;0,000;-0,931;-18,035;0,0000;-0,022;-0,431;0,000;0,000;0,000;0,0000;0,000;0,000;-0,005;0,006;0,200;0,017;0,058;-2,909;4,1667E-4;0,001;-0,069;0,000;0,000;0,000;0,0000;0,000;0,000;-0,005;0,006;0,200;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;-0,005;0,006
0,250;-0,785;-2,793;5,236;-0,0188;-0,067;0,125;0,000;0,000;-0,582;0,0000;0,000;-0,014;-0,005;0,006;0,250;-0,628;-1,280;-3,297;-0,0150;-0,031;-0,079;0,000;-0,058;-0,776;0,0000;-0,001;-0,019;-0,005;0,006;0,250;-1,065;-4,305;2,715;-0,0254;-0,103;0,065;-0,017;-0,058;0,776;-4,1667E-4;-0,001;0,019;-0,005;0,006;0,250;-0,209;-2,036;-12,605;-0,0050;-0,049;-0,301;0,000;0,000;0,000;0,0000;0,000;0,000;-0,005;0,006;0,250;-0,942;-3,432;1,551;-0,0225;-0,082;0,037;0,000;0,000;-0,582;0,0000;0,000;-0,014;-0,005;0,006;0,250;-0,785;-2,909;-5,236;-0,0188;-0,069;-0,125;0,000;-0,116;-0,388;0,0000;-0,003;-0,009;-0,005;0,006;0,250;0,000;0,000;0,000;0,0000;0,000;0,000;0,017;0,000;0,000;4,1667E-4;0,000;0,000;-0,005;0,006;0,250;-0,052;-2,153;-20,944;-0,0012;-0,051;-0,500;0,000;0,000;0,000;0,0000;0,000;0,000;-0,005;0,006;0,250;0,017;-0,175;-5,430;4,1667E-4;-0,004;-0,130;0,000;0,000;0,000;0,0000;0,000;0,000;-0,005;0,006;0,250;0,000;0,000;0,194;0,0000;0,000;0,005;0,000;0,000;0,000;0,0000;0,000;0,000;-0,005;0,006
0,300;-0,925;-2,502;5,624;-0,0221;-0,060;0,134;0,000;-0,058;-0,776;0,0000;-0,001;-0,019;-0,005;0,006;0,300;-0,681;-1,571;-7,563;-0,0163;-0,037;-0,181;0,000;-0,116;-0,388;0,0000;-0,003;-0,009;-0,005;0,006;0,300;-1,292;-3,956;7,951;-0,0308;-0,094;0,190;-0,017;0,000;0,582;-4,1667E-4;0,000;0,014;-0,005;0,006;0,300;-0,332;-2,734;-12,799;-0,0079;-0,065;-0,306;0,000;0,000;0,000;0,0000;0,000;0,000;-0,005;0,006;0,300;-1,065;-3,316;-2,715;-0,0254;-0,079;-0,065;0,000;-0,058;-0,776;0,0000;-0,001;-0,019;-0,005;0,006;0,300;-0,942;-3,258;-5,624;-0,0225;-0,078;-0,134;-0,017;-0,116;0,388;-4,1667E-4;-0,003;0,009;-0,005;0,006;0,300;0,000;0,000;0,000;0,0000;0,000;0,000;0,017;0,000;0,000;4,1667E-4;0,000;0,000;-0,005;0,006;0,300;-0,227;-3,316;-17,841;-0,0054;-0,079;-0,426;0,000;0,000;0,000;0,0000;0,000;0,000;-0,005;0,006;0,300;0,000;-0,524;-8,145;0,0000;-0,012;-0,194;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;0,300;0,000;0,000;0,582;0,0000;0,000;0,014;0,000;0,000;0,000;0,0000;0,000;0,000;-0,005;0,006
0,350;-1,047;-2,153;4,072;-0,0250;-0,051;0,097;0,000;-0,116;-0,388;0,0000;-0,003;-0,009;-0,005;0,006;0,350;-0,785;-2,094;-9,696;-0,0188;-0,050;-0,231;-0,017;-0,116;0,388;-4,1667E-4;-0,003;0,009;-0,005;0,006;0,350;-1,466;-3,432;11,054;-0,0350;-0,082;0,264;-0,017;0,000;0,194;-4,1667E-4;0,000;0,005;-0,005;0,006;0,350;-0,471;-3,432;-10,084;-0,0112;-0,082;-0,241;0,000;0,000;0,000;0,0000;0,000;0,000;-0,005;0,006;0,350;-1,239;-3,665;-7,369;-0,0296;-0,088;-0,176;0,000;-0,116;-0,388;0,0000;-0,003;-0,009;-0,005;0,006;0,350;-1,117;-3,549;-3,103;-0,0267;-0,085;-0,074;-0,017;-0,058;0,776;-4,1667E-4;-0,001;0,019;-0,005;0,006;0,350;0,000;0,000;0,000;0,0000;0,000;0,000;0,017;0,000;0,000;4,1667E-4;0,000;0,000;-0,005;0,006;0,350;-0,419;-4,014;-12,605;-0,0100;-0,096;-0,301;0,000;0,000;0,000;0,0000;0,000;0,000;-0,005;0,006;0,350;-0,035;-0,931;-12,605;-8,3333E-4;-0,022;-0,301;0,000;0,000;0,000;0,0000;0,000;0,000;-0,005;0,006;0,350;0,000;0,058;0,582;0,0000;0,001;0,014;0,000;0,000;0,000;0,0000;0,000;0,000;-0,005;0,006
0,400;-1,134;-1,978;0,776;-0,0271;-0,047;0,019;-0,017;-0,116;0,388;-4,1667E-4;-0,003;0,009;-0,005;0,006;0,400;-0,890;-2,676;-8,727;-0,0212;-0,064;-0,208;-0,017;-0,058;0,776;-4,1667E-4;-0,001;0,019;-0,005;0,006;0,400;-1,623;-2,793;11,829;-0,0387;-0,067;0,282;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000;-0,005;0,006;0,400;-0,681;-3,898;-4,266;-0,0163;-0,093;-0,102;0,000;0,000;0,000;0,0000;0,000;0,000;-0,005;0,006;0,400;-1,431;-4,305;-7,369;-0,0342;-0,103;-0,176;-0,017;-0,116;0,388;-4,1667E-4;-0,003;0,009;-0,005;0,006;0,400;-1,292;-3,665;1,551;-0,0308;-0,087;0,037;-0,017;0,000;0,582;-4,1667E-4;0,000;0,014;-0,005;0,006;0,400;0,000;0,000;0,000;0,0000;0,000;0,000;0,017;0,000;0,000;4,1667E-4;0,000;0,000;-0,005;0,006;0,400;-0,628;-4,422;-8,727;-0,0150;-0,106;-0,208;0,000;0,000;-0,194;0,0000;0,000;-0,005;-0,005;0,006;0,400;-0,087;-1,629;-19,586;-0,0021;-0,039;-0,468;0,000;0,000;0,000;0,0000;0,000;0,000;-0,005;0,006;0,400;0,000;0,116;-0,194;0,0000;0,003;-0,005;0,000;0,000;0,000;0,0000;0,000;0,000;-0,005;0,006
0,450;-1,222;-2,094;-1,939;-0,0292;-0,050;-0,046;-0,017;-0,058;0,776;-4,1667E-4;-0,001;0,019;-0,005;0,006;0,450;-1,047;-3,083;-5,042;-0,0250;-0,074;-0,120;-0,017;0,000;0,582;-4,1667E-4;0,000;0,014;-0,005;0,006;0,450;-1,763;-2,153;10,278;-0,0421;-0,051;0,245;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000;-0,005;0,006;0,450;-0,890;-3,898;1,551;-0,0212;-0,093;0,037;0,000;0,000;-0,194;0,0000;0,000;-0,005;-0,005;0,006;0,450;-1,676;-4,654;-0,776;-0,0400;-0,111;-0,019;-0,017;-0,058;0,776;-4,1667E-4;-0,001;0,019;-0,005;0,006;0,450;-1,501;-3,432;6,787;-0,0358;-0,082;0,162;-0,017;0,000;0,194;-4,1667E-4;0,000;0,005;-0,005;0,006;0,450;0,000;0,000;0,000;0,0000;0,000;0,000;0,017;0,000;0,000;4,1667E-4;0,000;0,000;-0,005;0,006;0,450;-0,855;-4,829;-6,400;-0,0204;-0,115;-0,153;0,000;0,000;-0,582;0,0000;0,000;-0,014;-0,005;0,006;0,450;-0,175;-2,851;-25,792;-0,0042;-0,068;-0,616;0,000;0,000;0,000;0,0000;0,000;0,000;-0,005;0,006;0,450;0,017;0,058;-1,357;4,1667E-4;0,001;-0,032;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006
