"Time (s) Run #1";"Angle, Ch 1+2 (rad) Run #1";"Angular Velocity, Ch 1+2 (rad/s) Run #1";"Angular Acceleration, Ch 1+2 (rad/s²) Run #1";"Position, Ch 1+2 (m) Run #1";"Velocity, Ch 1+2 (m/s) Run #1";"Acceleration, Ch 1+2 (m/s²) Run #1";"Angle, Ch 3+4 (rad) Run #1";"Angular Velocity, Ch 3+4 (rad/s) Run #1";"Angular Acceleration, Ch 3+4 (rad/s²) Run #1";"Position, Ch 3+4 (m) Run #1";"Velocity, Ch 3+4 (m/s) Run #1";"Acceleration, Ch 3+4 (m/s²) Run #1";"Output Voltage (V) Run #1";"Output Current (A) Run #1";"Time (s) Run #2";"Angle, Ch 1+2 (rad) Run #2";"Angular Velocity, Ch 1+2 (rad/s) Run #2";"Angular Acceleration, Ch 1+2 (rad/s²) Run #2";"Position, Ch 1+2 (m) Run #2";"Velocity, Ch 1+2 (m/s) Run #2";"Acceleration, Ch 1+2 (m/s²) Run #2";"Angle, Ch 3+4 (rad) Run #2";"Angular Velocity, Ch 3+4 (rad/s) Run #2";"Angular Acceleration, Ch 3+4 (rad/s²) Run #2";"Position, Ch 3+4 (m) Run #2";"Velocity, Ch 3+4 (m/s) Run #2";"Acceleration, Ch 3+4 (m/s²) Run #2";"Output Voltage (V) Run #2";"Output Current (A) Run #2";"Time (s) Run #3";"Angle, Ch 1+2 (rad) Run #3";"Angular Velocity, Ch 1+2 (rad/s) Run #3";"Angular Acceleration, Ch 1+2 (rad/s²) Run #3";"Position, Ch 1+2 (m) Run #3";"Velocity, Ch 1+2 (m/s) Run #3";"Acceleration, Ch 1+2 (m/s²) Run #3";"Angle, Ch 3+4 (rad) Run #3";"Angular Velocity, Ch 3+4 (rad/s) Run #3";"Angular Acceleration, Ch 3+4 (rad/s²) Run #3";"Position, Ch 3+4 (m) Run #3";"Velocity, Ch 3+4 (m/s) Run #3";"Acceleration, Ch 3+4 (m/s²) Run #3";"Output Voltage (V) Run #3";"Output Current (A) Run #3";"Time (s) Run #4";"Angle, Ch 1+2 (rad) Run #4";"Angular Velocity, Ch 1+2 (rad/s) Run #4";"Angular Acceleration, Ch 1+2 (rad/s²) Run #4";"Position, Ch 1+2 (m) Run #4";"Velocity, Ch 1+2 (m/s) Run #4";"Acceleration, Ch 1+2 (m/s²) Run #4";"Angle, Ch 3+4 (rad) Run #4";"Angular Velocity, Ch 3+4 (rad/s) Run #4";"Angular Acceleration, Ch 3+4 (rad/s²) Run #4";"Position, Ch 3+4 (m) Run #4";"Velocity, Ch 3+4 (m/s) Run #4";"Acceleration, Ch 3+4 (m/s²) Run #4";"Output Voltage (V) Run #4";"Output Current (A) Run #4";"Time (s) Run #5";"Angle, Ch 1+2 (rad) Run #5";"Angular Velocity, Ch 1+2 (rad/s) Run #5";"Angular Acceleration, Ch 1+2 (rad/s²) Run #5";"Position, Ch 1+2 (m) Run #5";"Velocity, Ch 1+2 (m/s) Run #5";"Acceleration, Ch 1+2 (m/s²) Run #5";"Angle, Ch 3+4 (rad) Run #5";"Angular Velocity, Ch 3+4 (rad/s) Run #5";"Angular Acceleration, Ch 3+4 (rad/s²) Run #5";"Position, Ch 3+4 (m) Run #5";"Velocity, Ch 3+4 (m/s) Run #5";"Acceleration, Ch 3+4 (m/s²) Run #5";"Output Voltage (V) Run #5";"Output Current (A) Run #5";"Time (s) Run #6";"Angle, Ch 1+2 (rad) Run #6";"Angular Velocity, Ch 1+2 (rad/s) Run #6";"Angular Acceleration, Ch 1+2 (rad/s²) Run #6";"Position, Ch 1+2 (m) Run #6";"Velocity, Ch 1+2 (m/s) Run #6";"Acceleration, Ch 1+2 (m/s²) Run #6";"Angle, Ch 3+4 (rad) Run #6";"Angular Velocity, Ch 3+4 (rad/s) Run #6";"Angular Acceleration, Ch 3+4 (rad/s²) Run #6";"Position, Ch 3+4 (m) Run #6";"Velocity, Ch 3+4 (m/s) Run #6";"Acceleration, Ch 3+4 (m/s²) Run #6";"Output Voltage (V) Run #6";"Output Current (A) Run #6";"Time (s) Run #7";"Angle, Ch 1+2 (rad) Run #7";"Angular Velocity, Ch 1+2 (rad/s) Run #7";"Angular Acceleration, Ch 1+2 (rad/s²) Run #7";"Position, Ch 1+2 (m) Run #7";"Velocity, Ch 1+2 (m/s) Run #7";"Acceleration, Ch 1+2 (m/s²) Run #7";"Angle, Ch 3+4 (rad) Run #7";"Angular Velocity, Ch 3+4 (rad/s) Run #7";"Angular Acceleration, Ch 3+4 (rad/s²) Run #7";"Position, Ch 3+4 (m) Run #7";"Velocity, Ch 3+4 (m/s) Run #7";"Acceleration, Ch 3+4 (m/s²) Run #7";"Output Voltage (V) Run #7";"Output Current (A) Run #7";"Time (s) Run #8";"Angle, Ch 1+2 (rad) Run #8";"Angular Velocity, Ch 1+2 (rad/s) Run #8";"Angular Acceleration, Ch 1+2 (rad/s²) Run #8";"Position, Ch 1+2 (m) Run #8";"Velocity, Ch 1+2 (m/s) Run #8";"Acceleration, Ch 1+2 (m/s²) Run #8";"Angle, Ch 3+4 (rad) Run #8";"Angular Velocity, Ch 3+4 (rad/s) Run #8";"Angular Acceleration, Ch 3+4 (rad/s²) Run #8";"Position, Ch 3+4 (m) Run #8";"Velocity, Ch 3+4 (m/s) Run #8";"Acceleration, Ch 3+4 (m/s²) Run #8";"Output Voltage (V) Run #8";"Output Current (A) Run #8";"Time (s) Run #9";"Angle, Ch 1+2 (rad) Run #9";"Angular Velocity, Ch 1+2 (rad/s) Run #9";"Angular Acceleration, Ch 1+2 (rad/s²) Run #9";"Position, Ch 1+2 (m) Run #9";"Velocity, Ch 1+2 (m/s) Run #9";"Acceleration, Ch 1+2 (m/s²) Run #9";"Angle, Ch 3+4 (rad) Run #9";"Angular Velocity, Ch 3+4 (rad/s) Run #9";"Angular Acceleration, Ch 3+4 (rad/s²) Run #9";"Position, Ch 3+4 (m) Run #9";"Velocity, Ch 3+4 (m/s) Run #9";"Acceleration, Ch 3+4 (m/s²) Run #9";"Output Voltage (V) Run #9";"Output Current (A) Run #9";"Time (s) Run #10";"Angle, Ch 1+2 (rad) Run #10";"Angular Velocity, Ch 1+2 (rad/s) Run #10";"Angular Acceleration, Ch 1+2 (rad/s²) Run #10";"Position, Ch 1+2 (m) Run #10";"Velocity, Ch 1+2 (m/s) Run #10";"Acceleration, Ch 1+2 (m/s²) Run #10";"Angle, Ch 3+4 (rad) Run #10";"Angular Velocity, Ch 3+4 (rad/s) Run #10";"Angular Acceleration, Ch 3+4 (rad/s²) Run #10";"Position, Ch 3+4 (m) Run #10";"Velocity, Ch 3+4 (m/s) Run #10";"Acceleration, Ch 3+4 (m/s²) Run #10";"Output Voltage (V) Run #10";"Output Current (A) Run #10"
0,000;-0,017;;;-4,1667E-4;;;0,000;;;0,0000;;;-0,006;0,006;0,000;0,000;;;0,0000;;;0,000;;;0,0000;;;-0,005;0,006;0,000;0,000;;;0,0000;;;0,000;;;0,0000;;;-0,006;0,006;0,000;0,000;;;0,0000;;;0,000;;;0,0000;;;-0,006;0,006;0,000;0,000;;;0,0000;;;0,000;;;0,0000;;;-0,006;0,006;0,000;0,017;;;4,1667E-4;;;0,000;;;0,0000;;;-0,006;0,006;0,000;0,000;;;0,0000;;;0,000;;;0,0000;;;-0,006;0,006;0,000;0,000;;;0,0000;;;0,000;;;0,0000;;;-0,006;0,006;0,000;0,000;;;0,0000;;;0,000;;;0,0000;;;-0,006;0,006;0,000;0,000;;;0,0000;;;0,000;;;0,0000;;;-0,006;0,006
0,050;-0,035;-0,175;;-8,3333E-4;-0,004;;0,000;0,000;;0,0000;0,000;;-0,006;0,006;0,050;0,000;0,175;;0,0000;0,004;;0,000;0,000;;0,0000;0,000;;-0,005;0,006;0,050;0,000;0,000;;0,0000;0,000;;0,000;0,000;;0,0000;0,000;;-0,006;0,006;0,050;0,000;0,000;;0,0000;0,000;;0,000;0,000;;0,0000;0,000;;-0,006;0,006;0,050;0,000;-0,175;;0,0000;-0,004;;0,000;0,000;;0,0000;0,000;;-0,006;0,006;0,050;0,035;0,349;;8,3333E-4;0,008;;0,000;0,000;;0,0000;0,000;;-0,006;0,006;0,050;-0,017;0,000;;-4,1667E-4;0,000;;0,000;0,000;;0,0000;0,000;;-0,006;0,006;0,050;0,000;0,000;;0,0000;0,000;;0,000;0,000;;0,0000;0,000;;-0,006;0,006;0,050;0,000;0,175;;0,0000;0,004;;0,000;0,000;;0,0000;0,000;;-0,006;0,006;0,050;0,000;0,000;;0,0000;0,000;;0,000;0,000;;0,0000;0,000;;-0,006;0,006
0,100;-0,035;-0,058;1,745;-8,3333E-4;-0,001;0,042;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;0,100;0,017;0,116;-1,164;4,1667E-4;0,003;-0,028;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;0,100;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;0,100;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;0,100;-0,017;-0,116;1,164;-4,1667E-4;-0,003;0,028;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;0,100;0,052;0,233;-2,327;0,0012;0,006;-0,056;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;0,100;0,000;0,058;0,582;0,0000;0,001;0,014;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;0,100;0,000;0,116;1,164;0,0000;0,003;0,028;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;0,100;0,017;0,116;-1,164;4,1667E-4;0,003;-0,028;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;0,100;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006
0,150;-0,035;0,000;0,000;-8,3333E-4;0,000;-8,674E-18;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;0,150;0,017;0,058;-0,970;4,1667E-4;0,001;-0,023;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;0,150;0,000;0,000;0,776;0,0000;0,000;0,019;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;0,150;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;0,150;-0,017;-0,058;0,970;-4,1667E-4;-0,001;0,023;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;0,150;0,052;0,116;-1,939;0,0012;0,003;-0,046;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;0,150;0,000;0,058;-0,194;0,0000;0,001;-0,005;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;0,150;0,017;0,116;-0,194;4,1667E-4;0,003;-0,005;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;0,150;0,017;0,058;-0,970;4,1667E-4;0,001;-0,023;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;0,150;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006
0,200;-0,035;-0,058;-1,551;-8,3333E-4;-0,001;-0,037;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;0,200;0,017;0,000;-0,776;4,1667E-4;0,000;-0,019;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;0,200;0,000;0,058;1,357;0,0000;0,001;0,032;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;0,200;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;0,200;-0,017;0,000;0,776;-4,1667E-4;0,000;0,019;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;0,200;0,070;0,000;-1,164;0,0017;0,000;-0,028;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;0,200;0,000;0,000;-0,388;0,0000;0,000;-0,009;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;0,200;0,017;0,058;-0,970;4,1667E-4;0,001;-0,023;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;0,200;0,017;0,000;-0,582;4,1667E-4;0,000;-0,014;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;0,200;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006
0,250;-0,035;-0,175;-2,715;-8,3333E-4;-0,004;-0,065;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;0,250;0,017;0,000;-0,582;4,1667E-4;0,000;-0,014;0,000;0,000;0,000;0,0000;0,000;0,000;-0,005;0,006;0,250;0,000;0,175;1,164;0,0000;0,004;0,028;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;0,250;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;0,250;-0,017;0,000;0,776;-4,1667E-4;0,000;0,019;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;0,250;0,052;0,000;-0,388;0,0012;0,000;-0,009;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;0,250;0,000;0,000;-0,582;0,0000;0,000;-0,014;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;0,250;0,017;0,000;-1,164;4,1667E-4;0,000;-0,028;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;0,250;0,017;0,000;0,000;4,1667E-4;0,000;4,879E-18;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;0,250;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006
0,300;-0,052;-0,349;-3,491;-0,0012;-0,008;-0,083;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;0,300;0,017;-0,058;-0,194;4,1667E-4;-0,001;-0,005;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;0,300;0,017;0,233;0,194;4,1667E-4;0,006;0,005;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;0,300;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;0,300;-0,017;0,058;0,776;-4,1667E-4;0,001;0,019;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;0,300;0,052;0,000;-1,357;0,0012;0,000;-0,032;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;0,300;0,000;0,000;-4,460;0,0000;0,000;-0,106;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;0,300;0,017;-0,058;-0,970;4,1667E-4;-0,001;-0,023;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;0,300;0,017;0,000;0,388;4,1667E-4;0,000;0,009;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;0,300;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006
0,350;-0,070;-0,524;-4,654;-0,0017;-0,013;-0,111;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;0,350;0,017;-0,058;0,388;4,1667E-4;-0,001;0,009;0,000;0,000;0,000;0,0000;0,000;0,000;-0,005;0,006;0,350;0,035;0,175;-0,582;8,3333E-4;0,004;-0,014;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;0,350;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;0,350;-0,017;0,116;0,388;-4,1667E-4;0,003;0,009;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;0,350;0,070;0,000;-8,339;0,0017;0,000;-0,199;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;0,350;0,000;-0,116;-19,780;0,0000;-0,003;-0,472;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;0,350;0,017;-0,116;-0,388;4,1667E-4;-0,003;-0,009;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;0,350;0,017;0,058;-3,491;4,1667E-4;0,001;-0,083;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;0,350;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006
0,400;-0,105;-0,756;-6,981;-0,0025;-0,018;-0,167;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;0,400;0,000;0,000;0,776;0,0000;0,000;0,019;0,000;0,000;0,000;0,0000;0,000;0,000;-0,005;0,006;0,400;0,035;0,116;-0,582;8,3333E-4;0,003;-0,014;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;0,400;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;0,400;0,000;0,116;-0,582;0,0000;0,003;-0,014;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;0,400;0,052;-0,407;-27,731;0,0012;-0,010;-0,662;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;0,400;0,000;-1,222;-52,166;0,0000;-0,029;-1,245;0,000;0,000;-0,194;0,0000;0,000;-0,005;-0,006;0,006;0,400;0,000;-0,116;0,388;0,0000;-0,003;0,009;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;0,400;0,017;0,058;-20,944;4,1667E-4;0,001;-0,500;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;0,400;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;-0,194;0,0000;0,000;-0,005;-0,006;0,006
0,450;-0,140;-1,164;-10,278;-0,0033;-0,028;-0,245;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;0,450;0,017;0,058;0,388;4,1667E-4;0,001;0,009;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;0,450;0,035;0,116;-0,388;8,3333E-4;0,003;-0,009;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;0,450;0,000;0,000;0,194;0,0000;0,000;0,005;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;0,450;0,000;0,058;-1,357;0,0000;0,001;-0,032;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;0,450;0,052;-2,094;-63,026;0,0012;-0,050;-1,505;0,000;0,000;-0,194;0,0000;0,000;-0,005;-0,006;0,006;0,450;-0,035;-4,712;-91,533;-8,3333E-4;-0,112;-2,185;0,000;0,000;-0,582;0,0000;0,000;-0,014;-0,006;0,006;0,450;0,000;-0,058;0,388;0,0000;-0,001;0,009;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;0,450;0,035;-1,105;-56,044;8,3333E-4;-0,026;-1,338;0,000;0,000;-0,194;0,0000;0,000;-0,005;-0,006;0,006;0,450;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;-0,388;0,0000;0,000;-0,009;-0,006;0,006
