"Time (s) Run #1";"Angle, Ch 1+2 (rad) Run #1";"Angle, Ch 3+4 (rad) Run #1";"Output Voltage (V) Run #1";"Output Current (A) Run #1";"Time (s) Run #2";"Angle, Ch 1+2 (rad) Run #2";"Angle, Ch 3+4 (rad) Run #2";"Output Voltage (V) Run #2";"Output Current (A) Run #2";"Time (s) Run #3";"Angle, Ch 1+2 (rad) Run #3";"Angle, Ch 3+4 (rad) Run #3";"Output Voltage (V) Run #3";"Output Current (A) Run #3";"Time (s) Run #4";"Angle, Ch 1+2 (rad) Run #4";"Angle, Ch 3+4 (rad) Run #4";"Output Voltage (V) Run #4";"Output Current (A) Run #4";"Time (s) Run #5";"Angle, Ch 1+2 (rad) Run #5";"Angle, Ch 3+4 (rad) Run #5";"Output Voltage (V) Run #5";"Output Current (A) Run #5";"Time (s) Run #6";"Angle, Ch 1+2 (rad) Run #6";"Angle, Ch 3+4 (rad) Run #6";"Output Voltage (V) Run #6";"Output Current (A) Run #6";"Time (s) Run #7";"Angle, Ch 1+2 (rad) Run #7";"Angle, Ch 3+4 (rad) Run #7";"Output Voltage (V) Run #7";"Output Current (A) Run #7";"Time (s) Run #8";"Angle, Ch 1+2 (rad) Run #8";"Angle, Ch 3+4 (rad) Run #8";"Output Voltage (V) Run #8";"Output Current (A) Run #8";"Time (s) Run #9";"Angle, Ch 1+2 (rad) Run #9";"Angle, Ch 3+4 (rad) Run #9";"Output Voltage (V) Run #9";"Output Current (A) Run #9";"Time (s) Run #10";"Angle, Ch 1+2 (rad) Run #10";"Angle, Ch 3+4 (rad) Run #10";"Output Voltage (V) Run #10";"Output Current (A) Run #10"
0,000;-0,017;0,000;-0,006;0,006;0,000;0,000;0,000;-0,005;0,006;0,000;0,000;0,000;-0,006;0,006;0,000;0,000;0,000;-0,006;0,006;0,000;0,000;0,000;-0,006;0,006;0,000;0,017;0,000;-0,006;0,006;0,000;0,000;0,000;-0,006;0,006;0,000;0,000;0,000;-0,006;0,006;0,000;0,000;0,000;-0,006;0,006;0,000;0,000;0,000;-0,006;0,006
0,050;-0,035;0,000;-0,006;0,006;0,050;0,000;0,000;-0,005;0,006;0,050;0,000;0,000;-0,006;0,006;0,050;0,000;0,000;-0,006;0,006;0,050;0,000;0,000;-0,006;0,006;0,050;0,035;0,000;-0,006;0,006;0,050;-0,017;0,000;-0,006;0,006;0,050;0,000;0,000;-0,006;0,006;0,050;0,000;0,000;-0,006;0,006;0,050;0,000;0,000;-0,006;0,006
0,100;-0,035;0,000;-0,006;0,006;0,100;0,017;0,000;-0,006;0,006;0,100;0,000;0,000;-0,006;0,006;0,100;0,000;0,000;-0,006;0,006;0,100;-0,017;0,000;-0,006;0,006;0,100;0,052;0,000;-0,006;0,006;0,100;0,000;0,000;-0,006;0,006;0,100;0,000;0,000;-0,006;0,006;0,100;0,017;0,000;-0,006;0,006;0,100;0,000;0,000;-0,006;0,006
0,150;-0,035;0,000;-0,006;0,006;0,150;0,017;0,000;-0,006;0,006;0,150;0,000;0,000;-0,006;0,006;0,150;0,000;0,000;-0,006;0,006;0,150;-0,017;0,000;-0,006;0,006;0,150;0,052;0,000;-0,006;0,006;0,150;0,000;0,000;-0,006;0,006;0,150;0,017;0,000;-0,006;0,006;0,150;0,017;0,000;-0,006;0,006;0,150;0,000;0,000;-0,006;0,006
0,200;-0,035;0,000;-0,006;0,006;0,200;0,017;0,000;-0,006;0,006;0,200;0,000;0,000;-0,006;0,006;0,200;0,000;0,000;-0,006;0,006;0,200;-0,017;0,000;-0,006;0,006;0,200;0,070;0,000;-0,006;0,006;0,200;0,000;0,000;-0,006;0,006;0,200;0,017;0,000;-0,006;0,006;0,200;0,017;0,000;-0,006;0,006;0,200;0,000;0,000;-0,006;0,006
0,250;-0,035;0,000;-0,006;0,006;0,250;0,017;0,000;-0,005;0,006;0,250;0,000;0,000;-0,006;0,006;0,250;0,000;0,000;-0,006;0,006;0,250;-0,017;0,000;-0,006;0,006;0,250;0,052;0,000;-0,006;0,006;0,250;0,000;0,000;-0,006;0,006;0,250;0,017;0,000;-0,006;0,006;0,250;0,017;0,000;-0,006;0,006;0,250;0,000;0,000;-0,006;0,006
0,300;-0,052;0,000;-0,006;0,006;0,300;0,017;0,000;-0,006;0,006;0,300;0,017;0,000;-0,006;0,006;0,300;0,000;0,000;-0,006;0,006;0,300;-0,017;0,000;-0,006;0,006;0,300;0,052;0,000;-0,006;0,006;0,300;0,000;0,000;-0,006;0,006;0,300;0,017;0,000;-0,006;0,006;0,300;0,017;0,000;-0,006;0,006;0,300;0,000;0,000;-0,006;0,006
0,350;-0,070;0,000;-0,006;0,006;0,350;0,017;0,000;-0,005;0,006;0,350;0,035;0,000;-0,006;0,006;0,350;0,000;0,000;-0,006;0,006;0,350;-0,017;0,000;-0,006;0,006;0,350;0,070;0,000;-0,006;0,006;0,350;0,000;0,000;-0,006;0,006;0,350;0,017;0,000;-0,006;0,006;0,350;0,017;0,000;-0,006;0,006;0,350;0,000;0,000;-0,006;0,006
0,400;-0,105;0,000;-0,006;0,006;0,400;0,000;0,000;-0,005;0,006;0,400;0,035;0,000;-0,006;0,006;0,400;0,000;0,000;-0,006;0,006;0,400;0,000;0,000;-0,006;0,006;0,400;0,052;0,000;-0,006;0,006;0,400;0,000;0,000;-0,006;0,006;0,400;0,000;0,000;-0,006;0,006;0,400;0,017;0,000;-0,006;0,006;0,400;0,000;0,000;-0,006;0,006
0,450;-0,140;0,000;-0,006;0,006;0,450;0,017;0,000;-0,006;0,006;0,450;0,035;0,000;-0,006;0,006;0,450;0,000;0,000;-0,006;0,006;0,450;0,000;0,000;-0,006;0,006;0,450;0,052;0,000;-0,006;0,006;0,450;-0,035;0,000;-0,006;0,006;0,450;0,000;0,000;-0,006;0,006;0,450;0,035;0,000;-0,006;0,006;0,450;0,000;0,000;-0,006;0,006
