"Time (s) Run #1";"Angle, Ch 1+2 (rad) Run #1";"Angle, Ch 3+4 (rad) Run #1";"Output Voltage (V) Run #1";"Output Current (A) Run #1";"Time (s) Run #2";"Angle, Ch 1+2 (rad) Run #2";"Angle, Ch 3+4 (rad) Run #2";"Output Voltage (V) Run #2";"Output Current (A) Run #2";"Time (s) Run #3";"Angle, Ch 1+2 (rad) Run #3";"Angle, Ch 3+4 (rad) Run #3";"Output Voltage (V) Run #3";"Output Current (A) Run #3";"Time (s) Run #4";"Angle, Ch 1+2 (rad) Run #4";"Angle, Ch 3+4 (rad) Run #4";"Output Voltage (V) Run #4";"Output Current (A) Run #4";"Time (s) Run #5";"Angle, Ch 1+2 (rad) Run #5";"Angle, Ch 3+4 (rad) Run #5";"Output Voltage (V) Run #5";"Output Current (A) Run #5";"Time (s) Run #6";"Angle, Ch 1+2 (rad) Run #6";"Angle, Ch 3+4 (rad) Run #6";"Output Voltage (V) Run #6";"Output Current (A) Run #6";"Time (s) Run #7";"Angle, Ch 1+2 (rad) Run #7";"Angle, Ch 3+4 (rad) Run #7";"Output Voltage (V) Run #7";"Output Current (A) Run #7";"Time (s) Run #8";"Angle, Ch 1+2 (rad) Run #8";"Angle, Ch 3+4 (rad) Run #8";"Output Voltage (V) Run #8";"Output Current (A) Run #8";"Time (s) Run #9";"Angle, Ch 1+2 (rad) Run #9";"Angle, Ch 3+4 (rad) Run #9";"Output Voltage (V) Run #9";"Output Current (A) Run #9";"Time (s) Run #10";"Angle, Ch 1+2 (rad) Run #10";"Angle, Ch 3+4 (rad) Run #10";"Output Voltage (V) Run #10";"Output Current (A) Run #10";"Time (s) Run #11";"Angle, Ch 1+2 (rad) Run #11";"Angle, Ch 3+4 (rad) Run #11";"Output Voltage (V) Run #11";"Output Current (A) Run #11";"Time (s) Run #12";"Angle, Ch 1+2 (rad) Run #12";"Angle, Ch 3+4 (rad) Run #12";"Output Voltage (V) Run #12";"Output Current (A) Run #12";"Time (s) Run #13";"Angle, Ch 1+2 (rad) Run #13";"Angle, Ch 3+4 (rad) Run #13";"Output Voltage (V) Run #13";"Output Current (A) Run #13";"Time (s) Run #14";"Angle, Ch 1+2 (rad) Run #14";"Angle, Ch 3+4 (rad) Run #14";"Output Voltage (V) Run #14";"Output Current (A) Run #14";"Time (s) Run #15";"Angle, Ch 1+2 (rad) Run #15";"Angle, Ch 3+4 (rad) Run #15";"Output Voltage (V) Run #15";"Output Current (A) Run #15";"Time (s) Run #16";"Angle, Ch 1+2 (rad) Run #16";"Angle, Ch 3+4 (rad) Run #16";"Output Voltage (V) Run #16";"Output Current (A) Run #16";"Time (s) Run #17";"Angle, Ch 1+2 (rad) Run #17";"Angle, Ch 3+4 (rad) Run #17";"Output Voltage (V) Run #17";"Output Current (A) Run #17";"Time (s) Run #18";"Angle, Ch 1+2 (rad) Run #18";"Angle, Ch 3+4 (rad) Run #18";"Output Voltage (V) Run #18";"Output Current (A) Run #18";"Time (s) Run #19";"Angle, Ch 1+2 (rad) Run #19";"Angle, Ch 3+4 (rad) Run #19";"Output Voltage (V) Run #19";"Output Current (A) Run #19";"Time (s) Run #20";"Angle, Ch 1+2 (rad) Run #20";"Angle, Ch 3+4 (rad) Run #20";"Output Voltage (V) Run #20";"Output Current (A) Run #20";"Time (s) Run #21";"Angle, Ch 1+2 (rad) Run #21";"Angle, Ch 3+4 (rad) Run #21";"Output Voltage (V) Run #21";"Output Current (A) Run #21";"Time (s) Run #22";"Angle, Ch 1+2 (rad) Run #22";"Angle, Ch 3+4 (rad) Run #22";"Output Voltage (V) Run #22";"Output Current (A) Run #22";"Time (s) Run #23";"Angle, Ch 1+2 (rad) Run #23";"Angle, Ch 3+4 (rad) Run #23";"Output Voltage (V) Run #23";"Output Current (A) Run #23";"Time (s) Run #24";"Angle, Ch 1+2 (rad) Run #24";"Angle, Ch 3+4 (rad) Run #24";"Output Voltage (V) Run #24";"Output Current (A) Run #24";"Time (s) Run #25";"Angle, Ch 1+2 (rad) Run #25";"Angle, Ch 3+4 (rad) Run #25";"Output Voltage (V) Run #25";"Output Current (A) Run #25";"Time (s) Run #26";"Angle, Ch 1+2 (rad) Run #26";"Angle, Ch 3+4 (rad) Run #26";"Output Voltage (V) Run #26";"Output Current (A) Run #26";"Time (s) Run #27";"Angle, Ch 1+2 (rad) Run #27";"Angle, Ch 3+4 (rad) Run #27";"Output Voltage (V) Run #27";"Output Current (A) Run #27";"Time (s) Run #28";"Angle, Ch 1+2 (rad) Run #28";"Angle, Ch 3+4 (rad) Run #28";"Output Voltage (V) Run #28";"Output Current (A) Run #28";"Time (s) Run #29";"Angle, Ch 1+2 (rad) Run #29";"Angle, Ch 3+4 (rad) Run #29";"Output Voltage (V) Run #29";"Output Current (A) Run #29";"Time (s) Run #30";"Angle, Ch 1+2 (rad) Run #30";"Angle, Ch 3+4 (rad) Run #30";"Output Voltage (V) Run #30";"Output Current (A) Run #30"
0,000;-0,035;-0,087;2,001;0,200;0,000;0,000;0,000;2,001;0,173;0,000;0,000;-0,070;2,001;0,190;0,000;0,052;0,175;2,996;0,202;0,000;0,000;-0,122;2,996;0,220;0,000;-0,017;0,087;2,996;0,201;0,000;-0,105;0,035;3,999;0,230;0,000;-0,070;0,035;3,999;0,227;0,000;-0,070;0,087;3,999;0,228;0,000;-0,087;0,244;4,995;0,251;0,000;0,070;0,297;4,995;0,237;0,000;0,140;0,209;4,995;0,252;0,000;0,105;0,332;5,998;0,269;0,000;0,105;0,314;5,998;0,271;0,000;-0,122;0,367;5,998;0,263;0,000;-0,052;0,471;6,992;0,283;0,000;-0,122;-0,175;6,992;0,289;0,000;0,209;-0,471;6,992;0,298;0,000;0,052;0,297;4,500;0,235;0,000;-0,244;0,000;4,500;0,240;0,000;0,000;0,279;4,499;0,237;0,000;0,070;0,314;4,747;0,239;0,000;0,105;-0,262;4,747;0,254;0,000;-0,122;0,140;4,747;0,240;0,000;-0,140;-0,192;4,250;0,246;0,000;0,000;-0,244;4,250;0,250;0,000;0,035;0,279;4,250;0,224;0,000;0,000;0,279;4,507;0,230;0,000;-0,035;-0,297;4,507;0,256;0,000;0,105;-0,157;4,507;0,251
0,050;-0,070;-0,157;2,001;0,178;0,050;-0,017;0,017;2,001;0,178;0,050;-0,017;-0,157;2,001;0,189;0,050;0,140;0,349;2,996;0,202;0,050;-0,017;-0,262;2,996;0,221;0,050;-0,017;0,192;2,996;0,203;0,050;-0,209;0,105;3,999;0,230;0,050;-0,140;0,122;3,999;0,229;0,050;-0,122;0,227;3,999;0,229;0,050;-0,157;0,541;4,995;0,250;0,050;0,157;0,593;4,995;0,248;0,050;0,314;0,332;4,995;0,242;0,050;0,227;0,541;5,998;0,265;0,050;0,244;0,506;5,998;0,277;0,050;-0,192;0,785;5,998;0,262;0,050;-0,052;0,908;6,992;0,281;0,050;-0,297;-0,209;6,992;0,286;0,050;0,384;-0,960;6,992;0,300;0,050;0,140;0,611;4,500;0,232;0,050;-0,541;0,052;4,500;0,248;0,050;0,017;0,559;4,499;0,224;0,050;0,140;0,611;4,747;0,239;0,050;0,192;-0,559;4,747;0,261;0,050;-0,227;0,349;4,747;0,243;0,050;-0,297;-0,349;4,250;0,243;0,050;0,000;-0,506;4,250;0,243;0,050;0,105;0,559;4,250;0,219;0,050;0,017;0,576;4,507;0,234;0,050;-0,087;-0,576;4,507;0,260;0,050;0,227;-0,384;4,507;0,256
0,100;-0,087;-0,227;2,001;0,185;0,100;-0,017;0,035;2,001;0,174;0,100;-0,035;-0,244;2,001;0,188;0,100;0,227;0,524;2,996;0,196;0,100;-0,035;-0,419;2,996;0,226;0,100;-0,017;0,297;2,996;0,207;0,100;-0,297;0,209;3,999;0,228;0,100;-0,192;0,244;3,999;0,228;0,100;-0,157;0,401;3,999;0,230;0,100;-0,192;0,873;4,995;0,251;0,100;0,279;0,838;4,995;0,237;0,100;0,506;0,349;4,995;0,255;0,100;0,401;0,611;5,998;0,276;0,100;0,419;0,524;5,998;0,276;0,100;-0,227;1,204;5,998;0,262;0,100;-0,017;1,222;6,992;0,276;0,100;-0,489;-0,070;6,992;0,282;0,100;0,506;-1,414;6,992;0,298;0,100;0,244;0,873;4,500;0,237;0,100;-0,873;0,157;4,500;0,232;0,100;0,052;0,873;4,499;0,237;0,100;0,262;0,873;4,747;0,240;0,100;0,262;-0,873;4,747;0,264;0,100;-0,314;0,611;4,747;0,229;0,100;-0,489;-0,471;4,250;0,242;0,100;-0,035;-0,768;4,250;0,248;0,100;0,175;0,838;4,250;0,223;0,100;0,070;0,890;4,507;0,228;0,100;-0,157;-0,855;4,507;0,260;0,100;0,332;-0,646;4,507;0,256
0,150;-0,122;-0,314;2,001;0,193;0,150;-0,017;0,052;2,001;0,179;0,150;-0,052;-0,314;2,001;0,186;0,150;0,314;0,698;2,996;0,196;0,150;-0,070;-0,576;2,996;0,219;0,150;0,000;0,436;2,996;0,209;0,150;-0,367;0,367;3,999;0,223;0,150;-0,244;0,384;3,999;0,229;0,150;-0,192;0,593;3,999;0,227;0,150;-0,192;1,204;4,995;0,246;0,150;0,419;1,030;4,995;0,252;0,150;0,716;0,297;4,995;0,249;0,150;0,593;0,506;5,998;0,278;0,150;0,611;0,401;5,998;0,285;0,150;-0,209;1,588;5,998;0,261;0,150;0,087;1,344;6,992;0,283;0,150;-0,716;0,192;6,992;0,274;0,150;0,576;-1,745;6,992;0,293;0,150;0,367;1,117;4,500;0,239;0,150;-1,204;0,314;4,500;0,229;0,150;0,122;1,169;4,499;0,230;0,150;0,401;1,065;4,747;0,245;0,150;0,297;-1,187;4,747;0,265;0,150;-0,384;0,908;4,747;0,240;0,150;-0,698;-0,541;4,250;0,237;0,150;-0,070;-1,047;4,250;0,251;0,150;0,279;1,100;4,250;0,227;0,150;0,157;1,187;4,507;0,231;0,150;-0,262;-1,100;4,507;0,255;0,150;0,401;-0,942;4,507;0,258
0,200;-0,140;-0,384;2,001;0,182;0,200;-0,017;0,087;2,001;0,169;0,200;-0,070;-0,401;2,001;0,193;0,200;0,436;0,873;2,996;0,199;0,200;-0,122;-0,750;2,996;0,222;0,200;0,017;0,576;2,996;0,192;0,200;-0,436;0,541;3,999;0,226;0,200;-0,262;0,576;3,999;0,223;0,200;-0,192;0,820;3,999;0,226;0,200;-0,157;1,553;4,995;0,251;0,200;0,559;1,134;4,995;0,243;0,200;0,908;0,140;4,995;0,264;0,200;0,803;0,279;5,998;0,283;0,200;0,820;0,122;5,998;0,288;0,200;-0,122;1,868;5,998;0,267;0,200;0,227;1,239;6,992;0,290;0,200;-0,942;0,593;6,992;0,272;0,200;0,559;-1,955;6,992;0,292;0,200;0,524;1,274;4,500;0,239;0,200;-1,536;0,524;4,500;0,241;0,200;0,227;1,449;4,499;0,233;0,200;0,576;1,152;4,747;0,240;0,200;0,279;-1,501;4,747;0,264;0,200;-0,401;1,222;4,747;0,230;0,200;-0,908;-0,559;4,250;0,231;0,200;-0,140;-1,292;4,250;0,256;0,200;0,384;1,326;4,250;0,219;0,200;0,262;1,466;4,507;0,232;0,200;-0,401;-1,292;4,507;0,253;0,200;0,454;-1,239;4,507;0,262
0,250;-0,175;-0,454;2,001;0,192;0,250;-0,017;0,122;2,001;0,175;0,250;-0,105;-0,489;2,001;0,191;0,250;0,559;1,012;2,996;0,200;0,250;-0,175;-0,908;2,996;0,220;0,250;0,052;0,733;2,996;0,194;0,250;-0,454;0,733;3,999;0,230;0,250;-0,262;0,785;3,999;0,221;0,250;-0,157;1,065;3,999;0,216;0,250;-0,070;1,850;4,995;0,246;0,250;0,716;1,169;4,995;0,260;0,250;1,100;-0,087;4,995;0,248;0,250;1,012;-0,052;5,998;0,288;0,250;1,030;-0,244;5,998;0,294;0,250;0,000;2,025;5,998;0,263;0,250;0,419;0,960;6,992;0,296;0,250;-1,152;1,082;6,992;0,271;0,250;0,471;-2,025;6,992;0,286;0,250;0,681;1,361;4,500;0,247;0,250;-1,850;0,768;4,499;0,230;0,250;0,349;1,693;4,500;0,236;0,250;0,750;1,152;4,747;0,247;0,250;0,227;-1,780;4,747;0,268;0,250;-0,367;1,536;4,747;0,230;0,250;-1,117;-0,541;4,250;0,231;0,250;-0,227;-1,536;4,250;0,248;0,250;0,506;1,501;4,250;0,225;0,250;0,384;1,693;4,507;0,231;0,250;-0,541;-1,449;4,507;0,255;0,250;0,454;-1,536;4,507;0,260
0,300;-0,192;-0,524;2,001;0,192;0,300;-0,017;0,157;2,001;0,169;0,300;-0,140;-0,576;2,001;0,192;0,300;0,698;1,134;2,996;0,206;0,300;-0,244;-1,082;2,996;0,226;0,300;0,105;0,908;2,996;0,199;0,300;-0,454;0,960;3,999;0,226;0,300;-0,244;1,012;3,999;0,222;0,300;-0,105;1,309;3,999;0,220;0,300;0,052;2,094;4,995;0,254;0,300;0,873;1,100;4,995;0,248;0,300;1,257;-0,349;4,995;0,268;0,300;1,204;-0,454;5,998;0,296;0,300;1,204;-0,646;5,998;0,298;0,300;0,192;2,007;5,998;0,270;0,300;0,628;0,559;6,992;0,313;0,300;-1,326;1,588;6,992;0,268;0,300;0,314;-1,937;6,992;0,283;0,300;0,873;1,361;4,500;0,240;0,300;-2,094;1,047;4,500;0,236;0,300;0,506;1,868;4,499;0,231;0,300;0,942;1,065;4,747;0,253;0,300;0,140;-2,007;4,747;0,257;0,300;-0,297;1,833;4,747;0,237;0,300;-1,326;-0,454;4,250;0,237;0,300;-0,332;-1,745;4,250;0,245;0,300;0,663;1,623;4,250;0,228;0,300;0,559;1,868;4,507;0,233;0,300;-0,716;-1,553;4,507;0,248;0,300;0,419;-1,815;4,507;0,263
0,350;-0,227;-0,593;2,001;0,176;0,350;-0,017;0,192;2,001;0,172;0,350;-0,175;-0,663;2,001;0,191;0,350;0,820;1,257;2,996;0,203;0,350;-0,314;-1,257;2,996;0,228;0,350;0,157;1,082;2,996;0,203;0,350;-0,419;1,204;3,999;0,223;0,350;-0,209;1,257;3,999;0,220;0,350;-0,035;1,571;3,999;0,223;0,350;0,227;2,251;4,995;0,253;0,350;1,030;0,942;4,995;0,254;0,350;1,361;-0,663;4,995;0,282;0,350;1,344;-0,873;5,998;0,297;0,350;1,344;-1,065;5,998;0,300;0,350;0,419;1,833;5,998;0,275;0,350;0,838;0,070;6,992;0,298;0,350;-1,449;2,042;6,992;0,274;0,350;0,105;-1,710;6,992;0,273;0,350;1,047;1,274;4,500;0,252;0,350;-2,286;1,361;4,499;0,232;0,350;0,681;1,990;4,500;0,241;0,350;1,134;0,890;4,747;0,259;0,350;0,000;-2,182;4,747;0,261;0,350;-0,192;2,112;4,747;0,234;0,350;-1,501;-0,332;4,250;0,229;0,350;-0,454;-1,920;4,250;0,249;0,350;0,820;1,693;4,250;0,233;0,350;0,733;1,955;4,507;0,237;0,350;-0,890;-1,606;4,507;0,247;0,350;0,314;-2,059;4,507;0,260
0,400;-0,244;-0,663;2,001;0,195;0,400;0,000;0,244;2,001;0,176;0,400;-0,209;-0,750;2,001;0,186;0,400;0,960;1,344;2,996;0,198;0,400;-0,401;-1,414;2,996;0,220;0,400;0,227;1,257;2,996;0,203;0,400;-0,349;1,449;3,999;0,224;0,400;-0,157;1,518;3,999;0,221;0,400;0,070;1,815;3,999;0,226;0,400;0,436;2,321;4,995;0,255;0,400;1,152;0,716;4,995;0,262;0,400;1,414;-0,977;4,995;0,268;0,400;1,449;-1,257;5,998;0,292;0,400;1,414;-1,449;5,998;0,298;0,400;0,681;1,536;5,998;0,283;0,400;1,030;-0,401;6,993;0,303;0,400;-1,484;2,339;6,992;0,272;0,400;-0,157;-1,344;6,992;0,271;0,400;1,239;1,117;4,500;0,251;0,400;-2,374;1,658;4,499;0,229;0,400;0,855;2,025;4,499;0,234;0,400;1,326;0,646;4,747;0,257;0,400;-0,192;-2,304;4,747;0,253;0,400;-0,017;2,321;4,747;0,240;0,400;-1,641;-0,175;4,250;0,225;0,400;-0,593;-2,042;4,250;0,248;0,400;0,977;1,676;4,250;0,227;0,400;0,925;1,972;4,507;0,242;0,400;-1,065;-1,588;4,507;0,241;0,400;0,175;-2,269;4,507;0,255
0,450;-0,279;-0,733;2,001;0,191;0,450;0,000;0,314;2,001;0,172;0,450;-0,262;-0,838;2,001;0,199;0,450;1,082;1,396;2,996;0,202;0,450;-0,506;-1,571;2,996;0,218;0,450;0,297;1,431;2,996;0,200;0,450;-0,244;1,693;3,999;0,222;0,450;-0,070;1,763;3,999;0,223;0,450;0,192;2,042;3,999;0,225;0,450;0,663;2,269;4,995;0,262;0,450;1,274;0,454;4,995;0,263;0,450;1,379;-1,274;4,995;0,274;0,450;1,466;-1,588;5,998;0,297;0,450;1,431;-1,763;5,998;0,297;0,450;0,942;1,169;5,998;0,283;0,450;1,187;-0,803;6,993;0,315;0,450;-1,431;2,461;6,992;0,279;0,450;-0,419;-0,890;6,992;0,272;0,450;1,396;0,890;4,500;0,255;0,450;-2,391;1,955;4,499;0,240;0,450;1,065;1,972;4,499;0,240;0,450;1,484;0,349;4,747;0,263;0,450;-0,401;-2,356;4,747;0,256;0,450;0,157;2,461;4,747;0,236;0,450;-1,710;0,035;4,250;0,231;0,450;-0,750;-2,147;4,250;0,237;0,450;1,152;1,606;4,250;0,230;0,450;1,134;1,885;4,507;0,244;0,450;-1,239;-1,518;4,507;0,242;0,450;0,000;-2,426;4,507;0,255
