"Time (s) Run #1";"Angle, Ch 1+2 (rad) Run #1";"Angle, Ch 3+4 (rad) Run #1";"Output Voltage (V) Run #1";"Output Current (A) Run #1";"Time (s) Run #2";"Angle, Ch 1+2 (rad) Run #2";"Angle, Ch 3+4 (rad) Run #2";"Output Voltage (V) Run #2";"Output Current (A) Run #2";"Time (s) Run #3";"Angle, Ch 1+2 (rad) Run #3";"Angle, Ch 3+4 (rad) Run #3";"Output Voltage (V) Run #3";"Output Current (A) Run #3";"Time (s) Run #4";"Angle, Ch 1+2 (rad) Run #4";"Angle, Ch 3+4 (rad) Run #4";"Output Voltage (V) Run #4";"Output Current (A) Run #4";"Time (s) Run #5";"Angle, Ch 1+2 (rad) Run #5";"Angle, Ch 3+4 (rad) Run #5";"Output Voltage (V) Run #5";"Output Current (A) Run #5";"Time (s) Run #6";"Angle, Ch 1+2 (rad) Run #6";"Angle, Ch 3+4 (rad) Run #6";"Output Voltage (V) Run #6";"Output Current (A) Run #6";"Time (s) Run #7";"Angle, Ch 1+2 (rad) Run #7";"Angle, Ch 3+4 (rad) Run #7";"Output Voltage (V) Run #7";"Output Current (A) Run #7";"Time (s) Run #8";"Angle, Ch 1+2 (rad) Run #8";"Angle, Ch 3+4 (rad) Run #8";"Output Voltage (V) Run #8";"Output Current (A) Run #8";"Time (s) Run #9";"Angle, Ch 1+2 (rad) Run #9";"Angle, Ch 3+4 (rad) Run #9";"Output Voltage (V) Run #9";"Output Current (A) Run #9";"Time (s) Run #10";"Angle, Ch 1+2 (rad) Run #10";"Angle, Ch 3+4 (rad) Run #10";"Output Voltage (V) Run #10";"Output Current (A) Run #10";"Time (s) Run #11";"Angle, Ch 1+2 (rad) Run #11";"Angle, Ch 3+4 (rad) Run #11";"Output Voltage (V) Run #11";"Output Current (A) Run #11";"Time (s) Run #12";"Angle, Ch 1+2 (rad) Run #12";"Angle, Ch 3+4 (rad) Run #12";"Output Voltage (V) Run #12";"Output Current (A) Run #12";"Time (s) Run #13";"Angle, Ch 1+2 (rad) Run #13";"Angle, Ch 3+4 (rad) Run #13";"Output Voltage (V) Run #13";"Output Current (A) Run #13";"Time (s) Run #14";"Angle, Ch 1+2 (rad) Run #14";"Angle, Ch 3+4 (rad) Run #14";"Output Voltage (V) Run #14";"Output Current (A) Run #14";"Time (s) Run #15";"Angle, Ch 1+2 (rad) Run #15";"Angle, Ch 3+4 (rad) Run #15";"Output Voltage (V) Run #15";"Output Current (A) Run #15";"Time (s) Run #16";"Angle, Ch 1+2 (rad) Run #16";"Angle, Ch 3+4 (rad) Run #16";"Output Voltage (V) Run #16";"Output Current (A) Run #16";"Time (s) Run #17";"Angle, Ch 1+2 (rad) Run #17";"Angle, Ch 3+4 (rad) Run #17";"Output Voltage (V) Run #17";"Output Current (A) Run #17";"Time (s) Run #18";"Angle, Ch 1+2 (rad) Run #18";"Angle, Ch 3+4 (rad) Run #18";"Output Voltage (V) Run #18";"Output Current (A) Run #18";"Time (s) Run #19";"Angle, Ch 1+2 (rad) Run #19";"Angle, Ch 3+4 (rad) Run #19";"Output Voltage (V) Run #19";"Output Current (A) Run #19";"Time (s) Run #20";"Angle, Ch 1+2 (rad) Run #20";"Angle, Ch 3+4 (rad) Run #20";"Output Voltage (V) Run #20";"Output Current (A) Run #20";"Time (s) Run #21";"Angle, Ch 1+2 (rad) Run #21";"Angle, Ch 3+4 (rad) Run #21";"Output Voltage (V) Run #21";"Output Current (A) Run #21";"Time (s) Run #22";"Angle, Ch 1+2 (rad) Run #22";"Angle, Ch 3+4 (rad) Run #22";"Output Voltage (V) Run #22";"Output Current (A) Run #22";"Time (s) Run #23";"Angle, Ch 1+2 (rad) Run #23";"Angle, Ch 3+4 (rad) Run #23";"Output Voltage (V) Run #23";"Output Current (A) Run #23";"Time (s) Run #24";"Angle, Ch 1+2 (rad) Run #24";"Angle, Ch 3+4 (rad) Run #24";"Output Voltage (V) Run #24";"Output Current (A) Run #24"
0,000;0,000;0,087;3,999;0,225;0,000;-0,140;-0,157;3,999;0,242;0,000;-0,122;-0,209;3,999;0,246;0,000;0,087;0,314;4,747;0,244;0,000;-0,157;-0,017;4,747;0,249;0,000;0,192;0,035;4,747;0,247;0,000;-0,052;0,262;4,995;0,243;0,000;-0,175;0,017;4,995;0,249;0,000;-0,349;-0,209;4,995;0,262;0,000;0,035;-0,262;4,500;0,255;0,000;-0,035;-0,297;4,500;0,259;0,000;0,000;0,227;4,499;0,231;0,000;0,122;-0,227;4,601;0,256;0,000;0,105;-0,017;4,601;0,241;0,000;0,157;0,017;4,601;0,233;0,000;0,105;0,279;4,550;0,234;0,000;0,087;-0,209;4,550;0,250;0,000;-0,105;-0,227;4,550;0,256;0,000;0,035;0,279;4,521;0,231;0,000;0,035;0,297;4,521;0,227;0,000;-0,070;-0,279;4,521;0,256;0,000;-0,087;-0,244;4,507;0,258;0,000;-0,105;-0,035;4,507;0,246;0,000;-0,157;0,035;4,507;0,238
0,050;0,000;0,192;3,999;0,224;0,050;-0,297;-0,279;3,999;0,240;0,050;-0,279;-0,367;3,999;0,245;0,050;0,209;0,576;4,747;0,241;0,050;-0,314;0,017;4,747;0,249;0,050;0,384;-0,035;4,747;0,251;0,050;-0,105;0,559;4,995;0,244;0,050;-0,367;0,105;4,995;0,248;0,050;-0,698;-0,349;4,995;0,255;0,050;0,035;-0,559;4,500;0,258;0,050;-0,105;-0,593;4,500;0,263;0,050;0,000;0,506;4,499;0,230;0,050;0,244;-0,489;4,601;0,258;0,050;0,227;-0,105;4,601;0,245;0,050;0,314;-0,035;4,601;0,254;0,050;0,209;0,506;4,550;0,234;0,050;0,157;-0,454;4,550;0,252;0,050;-0,227;-0,436;4,550;0,253;0,050;0,087;0,559;4,521;0,229;0,050;0,087;0,593;4,521;0,233;0,050;-0,140;-0,559;4,521;0,249;0,050;-0,192;-0,471;4,507;0,257;0,050;-0,227;0,000;4,507;0,233;0,050;-0,314;0,140;4,507;0,234
0,100;0,000;0,349;3,999;0,224;0,100;-0,454;-0,349;3,999;0,237;0,100;-0,436;-0,506;3,999;0,242;0,100;0,349;0,803;4,747;0,244;0,100;-0,471;0,105;4,747;0,244;0,100;0,576;-0,175;4,747;0,255;0,100;-0,122;0,890;4,995;0,243;0,100;-0,559;0,262;4,995;0,245;0,100;-1,012;-0,436;4,995;0,257;0,100;0,035;-0,855;4,500;0,258;0,100;-0,175;-0,855;4,500;0,260;0,100;0,035;0,803;4,499;0,232;0,100;0,332;-0,785;4,601;0,260;0,100;0,367;-0,297;4,601;0,247;0,100;0,489;-0,175;4,601;0,242;0,100;0,367;0,663;4,550;0,237;0,100;0,227;-0,750;4,550;0,257;0,100;-0,367;-0,576;4,550;0,247;0,100;0,157;0,855;4,521;0,229;0,100;0,140;0,873;4,521;0,232;0,100;-0,244;-0,785;4,521;0,257;0,100;-0,314;-0,663;4,507;0,252;0,100;-0,349;0,087;4,507;0,231;0,100;-0,454;0,314;4,507;0,233
0,150;0,000;0,541;3,999;0,225;0,150;-0,611;-0,384;3,999;0,236;0,150;-0,628;-0,593;3,999;0,233;0,150;0,524;0,925;4,747;0,247;0,150;-0,628;0,279;4,747;0,248;0,150;0,768;-0,401;4,747;0,264;0,150;-0,105;1,239;4,995;0,242;0,150;-0,733;0,489;4,995;0,243;0,150;-1,274;-0,436;4,995;0,247;0,150;-0,017;-1,152;4,500;0,259;0,150;-0,279;-1,082;4,500;0,255;0,150;0,070;1,117;4,499;0,232;0,150;0,384;-1,100;4,602;0,265;0,150;0,471;-0,524;4,601;0,255;0,150;0,663;-0,384;4,601;0,241;0,150;0,541;0,733;4,550;0,239;0,150;0,244;-1,047;4,550;0,253;0,150;-0,524;-0,681;4,550;0,245;0,150;0,244;1,117;4,521;0,237;0,150;0,227;1,117;4,521;0,236;0,150;-0,367;-0,995;4,521;0,249;0,150;-0,471;-0,803;4,507;0,245;0,150;-0,471;0,244;4,507;0,231;0,150;-0,593;0,524;4,506;0,235
0,200;0,000;0,768;3,999;0,220;0,200;-0,768;-0,384;3,999;0,227;0,200;-0,838;-0,646;3,999;0,236;0,200;0,733;0,977;4,747;0,246;0,200;-0,750;0,489;4,747;0,244;0,200;0,925;-0,681;4,747;0,261;0,200;-0,070;1,588;4,995;0,243;0,200;-0,873;0,768;4,995;0,237;0,200;-1,501;-0,349;4,995;0,243;0,200;-0,087;-1,414;4,500;0,259;0,200;-0,401;-1,257;4,500;0,256;0,200;0,140;1,414;4,499;0,234;0,200;0,401;-1,396;4,602;0,261;0,200;0,576;-0,820;4,601;0,255;0,200;0,820;-0,611;4,601;0,254;0,200;0,733;0,716;4,550;0,241;0,200;0,244;-1,344;4,551;0,260;0,200;-0,698;-0,716;4,550;0,245;0,200;0,367;1,361;4,521;0,240;0,200;0,349;1,274;4,521;0,235;0,200;-0,506;-1,152;4,521;0,246;0,200;-0,663;-0,908;4,507;0,239;0,200;-0,576;0,436;4,506;0,229;0,200;-0,698;0,768;4,506;0,226
0,250;0,000;1,012;3,999;0,225;0,250;-0,925;-0,332;3,999;0,230;0,250;-1,047;-0,646;3,999;0,232;0,250;0,942;0,908;4,747;0,254;0,250;-0,820;0,768;4,747;0,238;0,250;1,030;-0,995;4,747;0,266;0,250;0,000;1,885;4,995;0,241;0,250;-0,960;1,100;4,995;0,239;0,250;-1,658;-0,209;4,995;0,245;0,250;-0,192;-1,641;4,500;0,256;0,250;-0,541;-1,396;4,500;0,249;0,250;0,227;1,693;4,499;0,231;0,250;0,367;-1,693;4,602;0,263;0,250;0,628;-1,117;4,601;0,260;0,250;0,942;-0,890;4,601;0,254;0,250;0,960;0,628;4,550;0,245;0,250;0,192;-1,623;4,550;0,255;0,250;-0,873;-0,698;4,550;0,239;0,250;0,506;1,536;4,521;0,226;0,250;0,471;1,379;4,521;0,236;0,250;-0,646;-1,257;4,521;0,242;0,250;-0,855;-0,942;4,507;0,241;0,250;-0,663;0,663;4,507;0,228;0,250;-0,768;1,065;4,506;0,230
0,300;0,000;1,274;3,999;0,219;0,300;-1,047;-0,227;3,999;0,224;0,300;-1,257;-0,611;3,999;0,228;0,300;1,152;0,768;4,747;0,256;0,300;-0,838;1,065;4,747;0,241;0,300;1,082;-1,326;4,747;0,268;0,300;0,105;2,112;4,995;0,244;0,300;-0,995;1,431;4,995;0,239;0,300;-1,728;0,000;4,995;0,241;0,300;-0,332;-1,833;4,500;0,254;0,300;-0,698;-1,484;4,499;0,244;0,300;0,349;1,937;4,499;0,232;0,300;0,279;-1,937;4,602;0,260;0,300;0,646;-1,431;4,601;0,260;0,300;1,012;-1,187;4,602;0,267;0,300;1,187;0,454;4,550;0,252;0,300;0,122;-1,868;4,550;0,255;0,300;-1,065;-0,628;4,550;0,239;0,300;0,681;1,658;4,521;0,228;0,300;0,628;1,379;4,521;0,239;0,300;-0,820;-1,309;4,521;0,243;0,300;-1,065;-0,925;4,507;0,238;0,300;-0,716;0,942;4,507;0,229;0,300;-0,785;1,379;4,506;0,229
0,350;0,017;1,536;3,999;0,220;0,350;-1,134;-0,105;3,999;0,226;0,350;-1,431;-0,524;3,999;0,220;0,350;1,344;0,541;4,747;0,260;0,350;-0,803;1,396;4,747;0,241;0,350;1,082;-1,641;4,747;0,268;0,350;0,244;2,251;4,995;0,247;0,350;-0,977;1,780;4,995;0,238;0,350;-1,710;0,279;4,995;0,242;0,350;-0,489;-1,972;4,500;0,250;0,350;-0,873;-1,501;4,499;0,244;0,350;0,489;2,094;4,500;0,237;0,350;0,140;-2,147;4,601;0,257;0,350;0,628;-1,728;4,601;0,260;0,350;1,030;-1,484;4,601;0,261;0,350;1,414;0,209;4,550;0,251;0,350;0,000;-2,094;4,551;0,254;0,350;-1,222;-0,489;4,550;0,234;0,350;0,838;1,693;4,521;0,236;0,350;0,803;1,292;4,521;0,240;0,350;-0,995;-1,309;4,521;0,235;0,350;-1,257;-0,855;4,507;0,241;0,350;-0,716;1,239;4,507;0,225;0,350;-0,768;1,693;4,506;0,230
0,400;0,035;1,798;3,999;0,226;0,400;-1,187;0,070;3,999;0,219;0,400;-1,588;-0,401;3,999;0,226;0,400;1,518;0,262;4,747;0,266;0,400;-0,716;1,728;4,747;0,236;0,400;1,012;-1,920;4,747;0,268;0,400;0,419;2,304;4,995;0,249;0,400;-0,890;2,112;4,995;0,239;0,400;-1,606;0,593;4,995;0,241;0,400;-0,663;-2,059;4,500;0,247;0,400;-1,047;-1,466;4,499;0,239;0,400;0,663;2,199;4,500;0,235;0,400;-0,052;-2,304;4,602;0,255;0,400;0,541;-2,007;4,601;0,259;0,400;0,977;-1,763;4,601;0,252;0,400;1,623;-0,070;4,550;0,255;0,400;-0,140;-2,251;4,551;0,252;0,400;-1,379;-0,297;4,550;0,230;0,400;1,012;1,658;4,521;0,244;0,400;0,995;1,134;4,521;0,248;0,400;-1,169;-1,239;4,521;0,229;0,400;-1,449;-0,733;4,507;0,234;0,400;-0,681;1,553;4,507;0,228;0,400;-0,681;1,990;4,506;0,227
0,450;0,052;2,042;3,999;0,214;0,450;-1,187;0,279;3,999;0,222;0,450;-1,710;-0,227;3,999;0,222;0,450;1,658;-0,052;4,747;0,267;0,450;-0,593;2,025;4,747;0,240;0,450;0,855;-2,182;4,747;0,268;0,450;0,611;2,234;4,995;0,256;0,450;-0,733;2,374;4,995;0,240;0,450;-1,414;0,942;4,995;0,242;0,450;-0,838;-2,094;4,500;0,244;0,450;-1,222;-1,361;4,499;0,236;0,450;0,838;2,199;4,499;0,240;0,450;-0,279;-2,409;4,602;0,252;0,450;0,401;-2,234;4,601;0,255;0,450;0,873;-2,007;4,601;0,258;0,450;1,798;-0,367;4,551;0,264;0,450;-0,297;-2,374;4,550;0,246;0,450;-1,484;-0,052;4,550;0,231;0,450;1,187;1,553;4,521;0,241;0,450;1,187;0,925;4,521;0,253;0,450;-1,326;-1,134;4,521;0,232;0,450;-1,623;-0,559;4,507;0,233;0,450;-0,593;1,850;4,507;0,233;0,450;-0,541;2,251;4,506;0,232
