"Angle, Ch 1+2 (rad) Run #1","Angle, Ch 3+4 (rad) Run #1","Angle, Ch 1+2 (rad) Run #2","Angle, Ch 3+4 (rad) Run #2","Angle, Ch 1+2 (rad) Run #3","Angle, Ch 3+4 (rad) Run #3","Angle, Ch 1+2 (rad) Run #4","Angle, Ch 3+4 (rad) Run #4","Angle, Ch 1+2 (rad) Run #5","Angle, Ch 3+4 (rad) Run #5","Angle, Ch 1+2 (rad) Run #6","Angle, Ch 3+4 (rad) Run #6","Angle, Ch 1+2 (rad) Run #7","Angle, Ch 3+4 (rad) Run #7","Angle, Ch 1+2 (rad) Run #8","Angle, Ch 3+4 (rad) Run #8","Angle, Ch 1+2 (rad) Run #9","Angle, Ch 3+4 (rad) Run #9","Angle, Ch 1+2 (rad) Run #10","Angle, Ch 3+4 (rad) Run #10","Time","mean_Ch1_Ch2","sd_Ch1_Ch2","mean_Ch3_Ch4","sd_Ch3_Ch4"
-0.017,0,0,0,0,0,0,0,0,0,0.017,0,0,0,0,0,0,0,0,0,0,0,0.00801387685344754,0,0
2.251,0,3.508,0,0.576,0,4.259,0,2.74,0,-4.887,-0.017,-4.643,-0.017,-2.199,-0.017,-3.979,-0.017,4.084,0,2.25,0.171,3.73937647803005,-0.0068,0.00877876225140348
1.518,0,2.793,0,1.623,0,3.56,0,1.92,0,-5.044,-0.017,-4.573,-0.017,-2.775,-0.017,-4.154,-0.017,3.368,0,2.3,-0.1764,3.51887233199627,-0.0068,0.00877876225140348
0.733,0,1.955,0,2.583,0,2.705,0,1.03,0,-4.957,-0.017,-4.294,-0.017,-3.211,-0.017,-4.119,-0.017,2.496,0,2.35,-0.5079,3.22053285618666,-0.0068,0.00877876225140348
-0.087,0,1.03,0,3.403,0,1.728,0,0.087,0,-4.625,-0.017,-3.822,-0.017,-3.491,-0.017,-3.892,-0.017,1.501,0,2.4,-0.8168,2.87821054746792,-0.0068,0.00877876225140348
-0.89,0,0.052,0,4.032,0,0.681,0,-0.855,0,-4.084,-0.017,-3.176,-0.017,-3.578,-0.017,-3.491,-0.017,0.454,0,2.45,-1.0855,2.54787110479841,-0.0068,0.00877876225140348
-1.641,-0.017,-0.89,0,4.468,0,-0.401,0,-1.745,0,-3.351,-0.017,-2.391,-0.017,-3.491,-0.017,-2.932,-0.017,-0.611,0,2.5,-1.2985,2.30689585807422,-0.0085,0.00895978670381041
-2.304,-0.017,-1.798,0,4.677,0,-1.449,-0.017,-2.548,-0.017,-2.478,-0.017,-1.501,-0.017,-3.229,-0.017,-2.234,-0.017,-1.641,0,2.55,-1.4505,2.22289887059418,-0.0119,0.00821178015617401
-2.845,-0.017,-2.618,-0.017,4.66,0,-2.426,-0.017,-3.211,-0.017,-1.484,-0.017,-0.559,-0.017,-2.845,-0.017,-1.431,-0.017,-2.601,-0.017,2.6,-1.536,2.32590030358617,-0.0153,0.00537587202228625
-3.229,-0.017,-3.281,-0.017,4.398,0,-3.281,-0.017,-3.718,-0.017,-0.419,-0.017,0.401,-0.017,-2.321,-0.017,-0.593,-0.017,-3.403,-0.017,2.65,-1.5446,2.55864244386658,-0.0153,0.00537587202228625
