"Time","Angle, Ch 1+2 (rad) Run #22","Angle, Ch 3+4 (rad) Run #22","Angle, Ch 1+2 (rad) Run #23","Angle, Ch 3+4 (rad) Run #23","Angle, Ch 1+2 (rad) Run #24","Angle, Ch 3+4 (rad) Run #24","mean_Ch1_Ch2","sd_Ch1_Ch2","mean_Ch3_Ch4","sd_Ch3_Ch4"
0,0.07,0.314,0.105,-0.262,-0.122,0.14,0.0176666666666667,0.122214292672066,0.064,0.295425117415564
0.05,0.14,0.611,0.192,-0.559,-0.227,0.349,0.035,0.228383449487917,0.133666666666667,0.61400434308996
0.1,0.262,0.873,0.262,-0.873,-0.314,0.611,0.07,0.332553755053224,0.203666666666667,0.941578107930156
0.15,0.401,1.065,0.297,-1.187,-0.384,0.908,0.104666666666667,0.426380502993903,0.262,1.25732374510307
0.2,0.576,1.152,0.279,-1.501,-0.401,1.222,0.151333333333333,0.500855601279783,0.291,1.55231214644478
0.25,0.75,1.152,0.227,-1.78,-0.367,1.536,0.203333333333333,0.558875955229184,0.302666666666667,1.81383277435747
0.3,0.942,1.065,0.14,-2.007,-0.297,1.833,0.261666666666667,0.628396636952596,0.297,2.03193700689761
0.35,1.134,0.89,0,-2.182,-0.192,2.112,0.314,0.716600307005237,0.273333333333333,2.21242340733715
0.4,1.326,0.646,-0.192,-2.304,-0.017,2.321,0.372333333333333,0.830521723577014,0.221,2.34160735393447
0.45,1.484,0.349,-0.401,-2.356,0.157,2.461,0.413333333333333,0.968290417867147,0.151333333333333,2.41457580815623
0.5,1.588,0.035,-0.628,-2.356,0.384,2.531,0.448,1.10938541544406,0.0700000000000001,2.44368799154066
0.55,1.623,-0.279,-0.873,-2.286,0.646,2.496,0.465333333333333,1.25776958674208,-0.023,2.40125654606083
0.6,1.606,-0.593,-1.117,-2.147,0.908,2.391,0.465666666666667,1.41436428593674,-0.116333333333333,2.30624572266993
0.65,1.518,-0.873,-1.344,-1.955,1.187,2.182,0.453666666666667,1.56559711718352,-0.215333333333333,2.14548044347492
0.7,1.361,-1.1,-1.553,-1.71,1.449,1.937,0.419,1.70836881263971,-0.291,1.95346179896101
0.75,1.152,-1.292,-1.71,-1.414,1.676,1.658,0.372666666666667,1.82257217506834,-0.349333333333333,1.73947156726787
0.8,0.89,-1.431,-1.815,-1.117,1.85,1.344,0.308333333333333,1.9004758176134,-0.401333333333333,1.51963493423037
0.85,0.593,-1.484,-1.85,-0.785,1.972,1.047,0.238333333333333,1.93552637112836,-0.407333333333333,1.30708237434881
0.9,0.262,-1.501,-1.798,-0.471,2.007,0.75,0.157,1.9046718877539,-0.407333333333333,1.12684973857801
0.95,-0.087,-1.431,-1.676,-0.175,1.937,0.489,0.058,1.81085918834127,-0.372333333333333,0.975092474247101
1,-0.436,-1.292,-1.484,0.052,1.798,0.262,-0.0406666666666666,1.67633449327195,-0.326,0.843144115795159
1.05,-0.75,-1.117,-1.204,0.227,1.571,0.07,-0.127666666666667,1.48849935617498,-0.273333333333333,0.734841706310504
1.1,-1.03,-0.873,-0.873,0.297,1.292,-0.052,-0.203666666666667,1.29766187172673,-0.209333333333333,0.600658250033522
1.15,-1.239,-0.576,-0.489,0.279,0.925,-0.122,-0.267666666666667,1.09884727479907,-0.139666666666667,0.427773694064202
1.2,-1.379,-0.262,-0.087,0.175,0.524,-0.14,-0.314,0.971596109502297,-0.0756666666666667,0.225491315427742
1.25,-1.414,0.07,0.332,-0.017,0.087,-0.105,-0.331666666666667,0.945299070841251,-0.0173333333333333,0.0875004761891804
1.3,-1.361,0.384,0.733,-0.262,-0.349,0,-0.325666666666667,1.04719498343591,0.0406666666666667,0.324914347687715
1.35,-1.204,0.681,1.1,-0.559,-0.768,0.157,-0.290666666666667,1.22392374490135,0.093,0.622472489351939
1.4,-0.942,0.925,1.396,-0.873,-1.152,0.349,-0.232666666666667,1.4143695886625,0.133666666666667,0.918137970750221
1.45,-0.611,1.082,1.606,-1.187,-1.466,0.593,-0.157,1.58552294212351,0.162666666666667,1.19414418448248
1.5,-0.192,1.169,1.71,-1.484,-1.71,0.873,-0.064,1.71358921565234,0.186,1.45381532527347
1.55,0.297,1.152,1.676,-1.745,-1.833,1.187,0.0466666666666667,1.7678434131261,0.198,1.68277835736023
1.6,0.803,1.047,1.536,-1.99,-1.833,1.484,0.168666666666667,1.7718138540302,0.180333333333333,1.89222153389431
1.65,1.326,0.855,1.292,-2.164,-1.71,1.78,0.302666666666667,1.74310336277954,0.157,2.06256805948313
1.7,1.815,0.593,0.925,-2.286,-1.466,2.059,0.424666666666667,1.69675877287649,0.122,2.21046081168611
1.75,2.251,0.297,0.489,-2.356,-1.134,2.269,0.535333333333333,1.69297558556919,0.0700000000000001,2.32084101135774
1.8,2.618,-0.017,-0.017,-2.356,-0.698,2.426,0.634333333333333,1.75132530768368,0.0176666666666668,2.39118847716639
1.85,2.862,-0.332,-0.576,-2.286,-0.175,2.513,0.703666666666667,1.87989423461357,-0.0350000000000001,2.41324615404231
1.9,2.985,-0.628,-1.134,-2.164,0.384,2.513,0.745,2.08309409293003,-0.0930000000000001,2.38395700464585
1.95,2.95,-0.908,-1.693,-1.99,0.995,2.443,0.750666666666667,2.33112340585678,-0.151666666666667,2.31125557507891
2,2.793,-1.134,-2.199,-1.763,1.588,2.286,0.727333333333333,2.60491388213379,-0.203666666666667,2.17893100701544
2.05,2.478,-1.309,-2.635,-1.484,2.147,2.059,0.663333333333333,2.86123091227068,-0.244666666666667,1.99695176039216
2.1,2.059,-1.431,-2.95,-1.169,2.653,1.798,0.587333333333333,3.07778399718585,-0.267333333333333,1.79342196187438
2.15,1.518,-1.484,-3.159,-0.855,3.037,1.501,0.465333333333333,3.22934735408462,-0.279333333333333,1.57356294228522
2.2,0.908,-1.484,-3.194,-0.541,3.316,1.204,0.343333333333333,3.29152872284799,-0.273666666666667,1.36379482816637
2.25,0.262,-1.414,-3.107,-0.244,3.421,0.908,0.192,3.26456291101887,-0.25,1.16101162784875
2.3,-0.401,-1.274,-2.862,0,3.368,0.628,0.0349999999999999,3.13780130027381,-0.215333333333333,0.9691116206781
2.35,-1.047,-1.082,-2.478,0.175,3.159,0.401,-0.122,2.93012986060345,-0.168666666666667,0.799000834375868
2.4,-1.641,-0.855,-1.972,0.279,2.81,0.192,-0.267666666666667,2.67047080742953,-0.128,0.631101418157177
2.45,-2.129,-0.559,-1.379,0.297,2.304,0.017,-0.401333333333333,2.37270864906194,-0.0816666666666667,0.436446254805026
2.5,-2.496,-0.244,-0.716,0.209,1.71,-0.087,-0.500666666666667,2.11125207716495,-0.0406666666666667,0.230026810031642
2.55,-2.705,0.087,0,0.052,1.012,-0.14,-0.564333333333333,1.92168580505069,-0.000333333333333341,0.122214292672066
2.6,-2.74,0.401,0.698,-0.175,0.279,-0.122,-0.587666666666667,1.87571168715593,0.0346666666666667,0.318358812243879
2.65,-2.601,0.681,1.361,-0.454,-0.471,-0.07,-0.570333333333333,1.98286694796533,0.0523333333333333,0.577304368018581
2.7,-2.304,0.925,1.937,-0.75,-1.222,0.052,-0.529666666666667,2.20363661553654,0.0756666666666667,0.837750758479712
2.75,-1.85,1.082,2.409,-1.065,-1.885,0.227,-0.442,2.46910044348139,0.0813333333333334,1.08088682725498
2.8,-1.274,1.152,2.705,-1.361,-2.461,0.436,-0.343333333333333,2.70582599834752,0.0756666666666666,1.29467074321363
2.85,-0.576,1.134,2.845,-1.641,-2.897,0.698,-0.209333333333333,2.88850728462528,0.0636666666666666,1.49229364849326
2.9,0.192,1.03,2.793,-1.902,-3.176,0.977,-0.0636666666666667,2.9927018450446,0.035,1.6777005096262
2.95,0.995,0.838,2.548,-2.094,-3.281,1.274,0.0873333333333333,3.01864279657818,0.00600000000000004,1.83167245980279
3,1.78,0.576,2.129,-2.251,-3.194,1.588,0.238333333333333,2.97760546972451,-0.029,1.98972334760388
3.05,2.513,0.279,1.571,-2.339,-2.915,1.868,0.389666666666667,2.90042364721662,-0.0639999999999999,2.1243702596299
3.1,3.142,-0.035,0.89,-2.356,-2.478,2.129,0.518,2.82840732568702,-0.0873333333333333,2.2429579428365
3.15,3.648,-0.349,0.122,-2.321,-1.885,2.339,0.628333333333333,2.80103593931483,-0.110333333333333,2.33914970306163
3.2,3.962,-0.646,-0.698,-2.217,-1.152,2.478,0.704,2.83062749227093,-0.128333333333333,2.38992475474299
3.25,4.084,-0.908,-1.518,-2.059,-0.332,2.513,0.744666666666667,2.95211946461069,-0.151333333333333,2.37806735256454
3.3,3.997,-1.134,-2.304,-1.85,0.541,2.496,0.744666666666667,3.1554334620355,-0.162666666666667,2.33013847943279
3.35,3.7,-1.309,-3.019,-1.588,1.449,2.374,0.71,3.41991681185376,-0.174333333333333,2.21132592200547
3.4,3.229,-1.431,-3.613,-1.309,2.304,2.182,0.64,3.71213052033465,-0.186,2.05165518545393
3.45,2.583,-1.484,-4.049,-0.977,3.089,1.937,0.541,3.98309979789611,-0.174666666666667,1.84624330285402
3.5,1.815,-1.484,-4.294,-0.663,3.77,1.658,0.430333333333333,4.20654256288146,-0.163,1.62958307551349
3.55,0.942,-1.414,-4.328,-0.367,4.276,1.361,0.296666666666666,4.33814998972296,-0.14,1.40135755608624
3.6,0.035,-1.274,-4.171,-0.105,4.59,1.065,0.151333333333333,4.38165839989077,-0.104666666666667,1.16950003562776
3.65,-0.873,-1.082,-3.805,0.105,4.695,0.785,0.00566666666666671,4.31758512751438,-0.064,0.944903698796867
3.7,-1.728,-0.838,-3.264,0.244,4.573,0.506,-0.139666666666666,4.15291997675531,-0.0293333333333333,0.712472689535068
3.75,-2.478,-0.541,-2.566,0.297,4.224,0.279,-0.273333333333333,3.89505344422042,0.0116666666666667,0.478707983360768
3.8,-3.089,-0.227,-1.745,0.262,3.665,0.087,-0.389666666666667,3.57516787484635,0.0406666666666667,0.247770727353603
3.85,-3.526,0.087,-0.838,0.122,2.95,-0.035,-0.471333333333333,3.25353305397891,0.058,0.0824196578493262
3.9,-3.735,0.419,0.122,-0.087,2.077,-0.122,-0.512,2.95741491847187,0.07,0.302749071014264
3.95,-3.718,0.698,1.047,-0.332,1.1,-0.14,-0.523666666666667,2.76650073799617,0.0753333333333333,0.547723774665053
4,-3.491,0.925,1.92,-0.628,0.087,-0.087,-0.494666666666667,2.75199606346618,0.07,0.788314023724049
4.05,-3.037,1.082,2.688,-0.96,-0.942,0.017,-0.430333333333333,2.89659426453436,0.0463333333333334,1.02131598114067
4.1,-2.409,1.152,3.281,-1.257,-1.937,0.175,-0.355,3.1576997957374,0.0233333333333333,1.21164034817818
4.15,-1.606,1.134,3.683,-1.553,-2.81,0.367,-0.244333333333333,3.45403594847149,-0.0173333333333333,1.38411572252227
4.2,-0.698,1.012,3.875,-1.815,-3.543,0.611,-0.122,3.74239401987551,-0.064,1.52960811974832
4.25,0.297,0.82,3.805,-2.025,-4.084,0.89,0.00600000000000017,3.95254234638922,-0.105,1.66313709597255
4.3,1.309,0.559,3.526,-2.199,-4.398,1.187,0.145666666666667,4.08808663476367,-0.151,1.80120071063721
4.35,2.269,0.262,3.002,-2.304,-4.485,1.484,0.262,4.12732710116366,-0.186,1.93332977011166
4.4,3.159,-0.052,2.321,-2.356,-4.311,1.798,0.389666666666667,4.09240288013452,-0.203333333333333,2.08113078237129
4.45,3.892,-0.367,1.449,-2.339,-3.892,2.059,0.483,3.98089575347057,-0.215666666666667,2.20290202535958
4.5,4.451,-0.663,0.489,-2.269,-3.264,2.286,0.558666666666667,3.85797179011632,-0.215333333333333,2.31026196205827
4.55,4.8,-0.942,-0.541,-2.129,-2.443,2.443,0.605333333333333,3.75510616805082,-0.209333333333333,2.37242414701363
4.6,4.922,-1.152,-1.588,-1.92,-1.449,2.513,0.628333333333333,3.71907385424561,-0.186333333333333,2.36902012092201
4.65,4.782,-1.326,-2.601,-1.693,-0.349,2.513,0.610666666666667,3.78389909132542,-0.168666666666667,2.3296296558323
4.7,4.416,-1.431,-3.491,-1.396,0.803,2.426,0.576,3.95838464528146,-0.133666666666667,2.21680543425293
4.75,3.84,-1.484,-4.241,-1.082,1.955,2.251,0.518,4.22780877050985,-0.105,2.05023242584835
4.8,3.072,-1.484,-4.8,-0.768,3.054,2.025,0.442,4.53971408791347,-0.0756666666666667,1.85412090580235
4.85,2.164,-1.396,-5.131,-0.454,4.014,1.745,0.349,4.83512409354713,-0.0349999999999999,1.61187499515316
4.9,1.152,-1.257,-5.201,-0.175,4.835,1.466,0.262,5.07684931822878,0.0113333333333334,1.3710296617263
4.95,0.105,-1.047,-5.027,0.052,5.411,1.169,0.163,5.21924170737474,0.058,1.10801218404853
5,-0.942,-0.803,-4.59,0.209,5.742,0.89,0.0700000000000001,5.23981526391914,0.0986666666666667,0.851875773416132
5.05,-1.92,-0.506,-3.944,0.279,5.812,0.611,-0.0173333333333332,5.14878522889947,0.128,0.573605264968863
5.1,-2.793,-0.192,-3.089,0.279,5.585,0.384,-0.099,4.92471278350322,0.157,0.306768642465295
5.15,-3.473,0.122,-2.094,0.175,5.114,0.175,-0.151,4.61146169885428,0.157333333333333,0.0305995642670502
5.2,-3.962,0.436,-1.012,-0.017,4.398,0.017,-0.192,4.23989386659619,0.145333333333333,0.252298104101742
5.25,-4.224,0.716,0.122,-0.262,3.456,-0.087,-0.215333333333333,3.85109664035237,0.122333333333333,0.521523089933067
5.3,-4.206,0.942,1.222,-0.541,2.374,-0.14,-0.203333333333333,3.51394099741776,0.087,0.767117331312492
5.35,-3.944,1.1,2.251,-0.855,1.169,-0.122,-0.174666666666667,3.3088648103743,0.041,0.987640116641684
5.4,-3.438,1.152,3.142,-1.169,-0.087,-0.052,-0.127666666666667,3.29018849510683,-0.023,1.16077172605125
5.45,-2.74,1.117,3.84,-1.466,-1.344,0.087,-0.0813333333333335,3.46696485897007,-0.0873333333333333,1.30029471018432
5.5,-1.85,0.995,4.328,-1.745,-2.513,0.262,-0.0116666666666666,3.77285334108461,-0.162666666666667,1.41850496415534
5.55,-0.838,0.785,4.538,-1.972,-3.56,0.489,0.0466666666666667,4.12084667675629,-0.232666666666667,1.51356015187152
5.6,0.262,0.524,4.485,-2.147,-4.416,0.75,0.110333333333333,4.45243779668322,-0.291,1.6113103363412
5.65,1.361,0.227,4.171,-2.269,-5.044,1.03,0.162666666666667,4.72292899939575,-0.337333333333333,1.72037912488304
5.7,2.409,-0.087,3.613,-2.339,-5.393,1.326,0.209666666666667,4.88925447622982,-0.366666666666667,1.84843618589697
5.75,3.351,-0.401,2.845,-2.356,-5.445,1.623,0.250333333333333,4.9387878404861,-0.378,1.9895997084841
5.8,4.136,-0.698,1.885,-2.286,-5.219,1.902,0.267333333333333,4.8827902200825,-0.360666666666667,2.11428033461349
5.85,4.73,-0.96,0.803,-2.164,-4.712,2.147,0.273666666666667,4.74320422639942,-0.325666666666667,2.2244020170224
5.9,5.096,-1.169,-0.367,-1.99,-3.944,2.356,0.261666666666667,4.55267134035978,-0.267666666666667,2.30894571900972
5.95,5.201,-1.344,-1.536,-1.763,-2.95,2.478,0.238333333333333,4.3555590150213,-0.209666666666667,2.33699686207178
6,5.027,-1.449,-2.653,-1.484,-1.763,2.513,0.203666666666667,4.20076580319986,-0.14,2.29763204190749
6.05,4.625,-1.484,-3.683,-1.187,-0.454,2.478,0.162666666666667,4.18818866973938,-0.0643333333333333,2.20672751678437
6.1,3.997,-1.466,-4.52,-0.873,0.925,2.356,0.134,4.31324506607264,0.00566666666666663,2.05693031805488
6.15,3.176,-1.379,-5.166,-0.559,2.269,2.164,0.093,4.57695018544008,0.0753333333333334,1.85472271063179
6.2,2.217,-1.239,-5.568,-0.262,3.543,1.92,0.0640000000000002,4.92231012838484,0.139666666666667,1.61735040524103
6.25,1.152,-1.03,-5.672,-0.017,4.625,1.641,0.0350000000000001,5.23858940937348,0.198,1.34841722029941
6.3,0.052,-0.785,-5.515,0.157,5.498,1.361,0.0116666666666668,5.50661078462364,0.244333333333333,1.07566227661536
6.35,-1.03,-0.489,-5.079,0.262,6.074,1.065,-0.0116666666666666,5.64580413522585,0.279333333333333,0.777144988617525
6.4,-2.025,-0.175,-4.398,0.279,6.353,0.785,-0.0233333333333333,5.64809723122162,0.296333333333333,0.480234664860142
6.45,-2.897,0.157,-3.491,0.192,6.283,0.506,-0.0349999999999998,5.47960327031073,0.285,0.192190010146209
6.5,-3.595,0.471,-2.426,0.035,5.917,0.279,-0.0346666666666668,5.18732998114958,0.261666666666667,0.218516208399591
6.55,-4.067,0.75,-1.257,-0.192,5.271,0.105,-0.0176666666666667,4.79077460681812,0.221,0.481594227540156
6.6,-4.294,0.96,-0.035,-0.471,4.381,-0.035,0.0173333333333335,4.33773677547789,0.151333333333333,0.733471426391876
6.65,-4.241,1.1,1.152,-0.768,3.281,-0.105,0.0640000000000001,3.87723213130192,0.0756666666666667,0.94701443142823
6.7,-3.944,1.152,2.269,-1.082,2.025,-0.14,0.116666666666667,3.51875607755544,-0.0233333333333334,1.12156022278491
6.75,-3.403,1.117,3.229,-1.379,0.663,-0.105,0.163,3.34415250848403,-0.122333333333333,1.24809027451276
6.8,-2.653,0.977,4.014,-1.658,-0.716,-0.017,0.215,3.42961994979036,-0.232666666666667,1.33067288742701
6.85,-1.728,0.768,4.555,-1.902,-2.059,0.14,0.256,3.72671987141508,-0.331333333333333,1.39600907351397
6.9,-0.698,0.506,4.817,-2.094,-3.299,0.332,0.273333333333333,4.14427078426752,-0.418666666666667,1.45348730071278
6.95,0.401,0.209,4.8,-2.234,-4.363,0.576,0.279333333333333,4.58271146084208,-0.483,1.52747274934776
