"Angle, Ch 1+2 (rad) Run #1","Angle, Ch 3+4 (rad) Run #1","Angle, Ch 1+2 (rad) Run #2","Angle, Ch 3+4 (rad) Run #2","Angle, Ch 1+2 (rad) Run #3","Angle, Ch 3+4 (rad) Run #3","Angle, Ch 1+2 (rad) Run #4","Angle, Ch 3+4 (rad) Run #4","Angle, Ch 1+2 (rad) Run #5","Angle, Ch 3+4 (rad) Run #5","Angle, Ch 1+2 (rad) Run #6","Angle, Ch 3+4 (rad) Run #6","Angle, Ch 1+2 (rad) Run #7","Angle, Ch 3+4 (rad) Run #7","Angle, Ch 1+2 (rad) Run #8","Angle, Ch 3+4 (rad) Run #8","Angle, Ch 1+2 (rad) Run #9","Angle, Ch 3+4 (rad) Run #9","Angle, Ch 1+2 (rad) Run #10","Angle, Ch 3+4 (rad) Run #10","Time","mean_Ch1_Ch2","sd_Ch1_Ch2","mean_Ch3_Ch4","sd_Ch3_Ch4"
-0.052,0,-0.175,0,-0.157,0,0,0,-0.087,0,-0.122,0,0,0.017,0,0,0,0,0,0,0,-0.0593,0.0709194378620323,0.0017,0.00537587202228625
-2.269,-0.017,-0.14,-0.017,1.152,0,-2.374,-0.017,0.89,0,-0.524,-0.017,-0.855,0.017,-3.316,-0.017,-3.735,-0.017,-2.007,-0.017,1.1,-1.3178,1.6844650848926,-0.0102,0.0118865002792617
-2.164,-0.017,0.314,0,1.623,0,-2.217,-0.017,1.309,0,-0.017,0,-1.152,0.017,-2.74,-0.017,-3.299,-0.017,-2.531,-0.017,1.15,-1.0874,1.77464107169121,-0.0068,0.0118865002792617
-1.972,-0.017,0.768,0,2.025,0,-1.972,-0.017,1.658,0,0.489,0,-1.361,0,-2.059,-0.017,-2.705,-0.017,-3.194,-0.017,1.2,-0.8323,1.88971873568529,-0.0085,0.00895978670381041
-1.658,-0.017,1.204,0,2.339,0,-1.623,-0.017,1.902,0,0.995,0,-1.518,0,-1.292,-0.017,-2.007,-0.017,-3.752,-0.017,1.25,-0.541,2.00176560954462,-0.0085,0.00895978670381041
-1.274,-0.017,1.571,0,2.548,0,-1.204,-0.017,2.042,0,1.466,0,-1.71,0,-0.454,-0.017,-1.204,-0.017,-4.119,-0.017,1.3,-0.2338,2.09102116467316,-0.0085,0.00895978670381041
-0.82,-0.017,1.885,0,2.653,0,-0.75,-0.017,2.059,0,1.868,0,-1.885,0,0.384,0,-0.367,0,-4.276,-0.017,1.35,0.0751000000000001,2.1504155903246,-0.0051,0.00821178015617401
-0.332,-0.017,2.094,0,2.653,0,-0.244,-0.017,1.972,0,2.199,0,-2.094,0,1.187,0,0.489,0,-4.224,-0.017,1.4,0.37,2.18132202523556,-0.0051,0.00821178015617401
0.192,0,2.234,0,2.531,0,0.262,0,1.798,0,2.426,0,-2.286,0,1.92,0,1.309,0,-3.962,-0.017,1.45,0.6424,2.18115281445386,-0.0017,0.00537587202228625
0.698,0,2.251,0,2.304,0,0.733,0,1.518,0,2.548,0,-2.443,0,2.566,0,2.059,0,-3.526,-0.017,1.5,0.8708,2.15608631037298,-0.0017,0.00537587202228625
